,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.108159944920757,0,-0.0116761494644882,0.0307189242622848,0,0.0535961275975764,0,0,0,0,0
ETH,0,0,-0.0256236676529824,0,0,0,0.242589020693318,0,0.0807827368687184,0,0.0842376244643425,-0.00207006113397182,0.0393986360084975,0,0,0,0,0.0268870220152436
XRP,0,0,0,-0.119395920808142,0,0,0,0,0,0.453319602016539,0,0,0,0,0,0,0,0
ETC,0,0.166785543187749,-0.052962473541613,0,0,0.0771953812026289,0,0,0,0,0,-0.0293942577113261,0.287199583869968,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.107495942439733,0,0,0,0,0,0,0
LTC,0,-0.191848491253218,0,0,0,0,0.0570179054491191,0.281859835140317,0,0.0648767499165543,0.0989546575082661,-0.0743463621460024,0.160175406574997,0,0,0,0,0.0537071792615867
DASH,0,0.0403104511728684,-0.0913915144833654,0,0,0,0,0.222427302214343,0.156225828004637,0.00484696792237714,0,-0.00539689486481213,0.0638644706836169,0,0,0,0,0
XMR,0,0.057743020104923,0,0,0.100420459893859,0,0.125944972601255,0,0,0.0320811655377185,0,0,0.0166598975550193,0,0,0,0,0
ZEC,0,0.248316690612694,0,0,0,0,0.0772203558146318,0,0,0,0.0765078826420377,0,0.0298258162550836,0,0,0,0,-0.0144888272891098
XLM,0,0,0.430637576564052,0,0,0,0,0.150846796380426,0,0,0.0653033900227709,0.0238651016666053,0,0,0,0,0,0
DOGE,0,0,0.170290150379197,0,0.0942447922228651,0.161317526698981,0,0,0.134428974934935,0.0706233841333993,0,0,0.0914290342048264,0,0,0,0,0
DGB,0,0,-0.313509298287519,-0.295457532938148,0,-0.131001791906894,0,0.230740100295483,0,0.235982726018765,0.526367593192369,0,0,0,0,0,0,-0.433628608037333
NEO,0,0,0,0,0,0,0,0,0.12333644290612,0,0.03143185911084,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.00538216390990444,0,0,-0.00199199609977149,0.0069195129096527,0.0292315424235303,0,0,0,0,-0.0708651636488366
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.000406003920473345,0,-0.0029751599006166,0.00177982943981041,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.000000123843091357683,0,0.000000633784978324265,0,0,0,0,0,-0.0217747948783621
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
