,BTC,ETH,XRP,BCH,ADA,XLM,LTC,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.000000000000000000867361737988404,0.00392005093829635,0.00301990693099382,0,0,0.0705220513328143,0,0.0577921488502916,0,0,0.0277774776526736,0,0,0,0,0,0
ETH,0,0,0.0119358226899315,0.044527168999634,0,0,0.215326437118847,0.0792523359195426,0.0239794051001442,0,0,0,0,0.0329583879017966,0.0969855822190987,0,0,0,0,0
XRP,0,0,0,0,0.151116487659922,0,0,0,0,0.114336104424607,0,0,0,0.0504670635093989,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0899096065827136,0.0831457942457912,0.14872269306215,0.0704767195968273,0,0.266449605337758,0,0,0,0,0,0,0,0
ADA,0,0,0.153238523679831,0,0,0.430355386465837,0,0,0,0.0654262317680076,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.110277099215752,0,0.308080905461897,0,0,0,0.00897818374898005,0,0.206895261412321,0,0.127808026520794,0,0,0,0,0,0,0
LTC,0.121752644220462,0,0,0.141229599319003,0,0,0,0,0.0271015974627585,0.112404191932733,0.039153618807487,0.0785522937296223,0,0,0.142668562884173,0,0,0,0,0
NEO,0,0.372051180364952,0,0.122556149227758,0.0606892584110347,0.111286259255102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0732260230200857,0.20439289825881,0.0358505008058612,0.154125266766719,0.205461148247165,0,0,0,0,0,0.144736888632423,0.00941349336896037,0,0,0,0,0,0
XEM,0,0,0.129675946191526,0.0913103494553022,0.0262501336640684,0.241999425065144,0.0132241892230913,0,0.0255569006668655,0,0.0588515183583917,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0508896740296327,0.0112408210138816,0,0,0.135082249530142,0,0,0,0,0.43056957292206,0,0,0,0,0
DASH,0,0,0,0.128850049922022,0.0439469492745494,0,0.0817961732120827,0.0818990963770525,0,0,0,0,0.0440139407064569,0.093133450865778,0.111009275342676,0,0,0,0,0
XMR,0,0,0,0,0.018283849715498,0.118241817836198,0,0.061945898023762,0.0615426801964851,0,0.0247891559710551,0,0,0,0.26002619796239,0,0,0,0,0
TRX,0.211715228629918,0,0,0.18921748501624,0.134147713107348,0,0.0536555056509852,0,0,0,0,0.0445944380127069,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0737318803649139,0.113599911837677,0,0,0,0,0.0621574140596233,0,0,0.131784552845122,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00557948591073827,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00265385266261074,0,0,0,0,0,0,0,0,0,0,0.00250410544474754,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
