,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0646481684185775,0,0.0728057244768771,0,0.0607755807367702,0,0,0,0.0930714804891795,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.218165002989674,0.0218479437711555,0.0687432552130863,0,0,0,0.209497663795422,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0588608871577903,0,0.185066785099674,0,0,0,0,0,0.176708541000124,0,0,0,0,0,0,0,0,0,0
EOS,0,0.109973172684937,0,0,0.0719658753657494,0.279927673626946,0,0,0.0268088164886509,0.284260369860399,0,0,0.0106598221338035,0,0,0,0,0,0,0
LTC,0,0.120847690481854,0,0.200451706158781,0,0.20581162725034,0,0.0234078733911447,0,0.093748220451084,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.209467910573859,0.273447173088355,0,0,0,0,0,0.0982732904291388,0,0,0,0,0,0,0,0,0
XLM,0,0.184750883606403,0,0,0.0651303545707751,0.117326854714429,0,0,0,0.152901469726335,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.24232669811385,0,0,0.0500975156003868,0.180440049207015,0,0.075877254757718,0,0,0,0,0,0,0,0
BNB,0,0,0,0.14248830469359,0.197265878102643,0,0,0.272244864474252,0,0,0,0.147125281094785,0,0,0,0,0,0,0,0
ADA,0,0.284246401237002,0,0.162390252860564,0.196426362081972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0.497987395372367,0,0,0,0.0315326946424775,0,0,0,0,0,0,0,0,0,0
XMR,0,0.236623366572466,0,0.184276771267998,0.0318860188975443,0,0,0,0.087078028356612,0.120815473122629,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0517286893447764,0,0.387292348327293,0,0.0878318219048727,0,0,0,0.086718322546819,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.289344570176282,0,0,0,0,0,0.253722120186661,0,0,0,0,0,0,0,0,0,0
MKR,0,0.432004993205151,0,0.122448057180997,0,0,0,0,0,0,0,0.0784071792769813,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157447075720012
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0985275525249676
VIX.INDEX,0,0.000000469351781998348,0.0000323700059697865,0,0.00000767063412153823,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17601815489754,0
