,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0633503133239509,0,0.023063545346513,0,0,0.182430519595907,0.045826801629917,0,0.14467220996575,0.0370926819264732,0.088534037109985,0,0,0,0,0,0
ETH,0,0,0,0.0720284598909602,0,0.167736080170488,0.0229195429580882,0,0.127170054764054,0.0821222006774202,0,0,0,0,0.00594168767548527,0,0,0,0,0
XRP,0,0,0,0,0.00461081308248311,0,0.0370140386235196,0.133426937098094,0,0,0,0,0,0.317764905102744,0.148657616421962,0,0,0,0,0
BCH,0,0,0,0,0.0267481598370467,0,0,0,0.126425268760089,0.128860751363536,0.0584518451902133,0.0419882640001974,0,0,0.0363598822400753,0,0,0,0,0
LTC,0,0,0,0.0145124744969335,0,0,0.00717938996150742,0,0.0960995162505438,0.0504574898832493,0,0,0,0.193432954274994,0.0579105553664665,0,0,0,0,0
NEO,0,0.4990322078948,0,0,0,0,0,0,0.150252712819567,0,0,0.0574571669105566,0,0,0.171642106887189,0,0,0,0,0
ADA,0,0,0.184299404306631,0,0.120230274865416,0,0,0.124094313339985,0.0526425550389223,0.0148488845257391,0,0,0,0.0157508476512289,0,0,0,0,0,0
XLM,0,0,0.232579439947027,0,0,0,0.0960861708358125,0,0.0496585730824475,0,0,0,0,0.127074567611475,0.0510582790291152,0,0,0,0,0
XMR,0,0,0,0,0.174170176910959,0.182226428053568,0.0708226353653938,0,0,0.0154534070431058,0.318327343614267,0,0,0.0108796706199837,0,0,0,0,0,0
EOS,0,0,-0.00000000000000000693889390390723,0.0684089839973276,0,0,0.156069215699666,0.0853346447950458,0.106810351792707,0,0,0,0,0.122140175963324,0.227076945750753,0,0,0,0,0
DASH,0,0,0.133598184888884,0,0,0,0,0.0360046775573617,0.136159710002322,0.141724596272829,0,0,0,0.0649082357218252,0,0,0,0,0,0
MIOTA,0,0,0,0.0471652653006669,0.129462118523375,0.0698162626729907,0,0,0.178199689026099,0.193780061819265,0,0,0,0.156216529706853,0.0546823114553362,0,0,0,0,0
XEM,0,0,0,0,0,0.109569515249457,0.165332852246269,0,0,0.100853158666173,0,0,0,0.261607258527301,0,0,0,0,0,0
TRX,0,0,0.476146138579581,0.162110681083205,0,0,0,0,0,0,0,0.232855730330279,0.112090363877994,0,0,0,0,0,0,0
ETC,0,0,0.144603973648803,0,0,0.293735885573347,0,0,0,0.250264249999382,0,0,0,0.0916203681699421,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166581654377247
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522856106826629
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544650178968372
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
