,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XEM,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.000000000000000000216840434497101,0.0116443215855311,0,0,0,0.0451683734696358,0,0,0,0.0292261242368622,0,0,0,0,0,0
ETH,0,0,0,0.0628805493905483,0,0.197501023019604,0.0913247339743622,0,0.0339315796521702,0,0.00218967710965006,0,0,0.0459078159971563,0.0580583642892416,0,0,0,0,0
XRP,0,0,0,0,0.110970705473832,0,0,0.111065090631772,0.0225763074588224,0,0,0,0,0.0497483523112423,0,0,0,0,0,0
BCH,0,0,0.0691229492236003,0,0,0.10513363310364,0.135713361664418,0.0533745858095664,0,0,0.0598782579285567,0.0950246614184921,0,0,0.132045946691215,0,0,0,0,0
ADA,0,0,0.177844202429142,0,0,0,0,0.0647652100838741,0.41166482302991,0,0,0,0,0,0,0,0,0,0,0
LTC,0.103867626049364,0.0649741733107313,0,0,0,0,0,0.237819156390951,0,0.0666165467018994,0,0.0954316930380504,0,0,0,0,0,0,0,0
NEO,0,0.0473821954888922,0.0744483854690316,0.110662705925398,0,0,0,0.00751542656660979,0.179948290920564,0,0,0,0.0913569982143908,0,0,0,0,0,0,0
XEM,0,0,0.13774144453664,0,0.0243874316363944,0.0226805563735292,0,0,0.251097262327503,0.048445997086794,0,0,0,0,0.0762547288509939,0,0,0,0,0
XLM,0,0,0.105203919698906,0,0.309531830245661,0,0,0,0,0.185028211215502,0.0263365188093998,0,0.0939613400060817,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.172905115714975,0.0805320962280573,0,0.160390168898692,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0108686769464462,0.0619725639313148,0,0.227156401817492,0.0589039074552843,-0.00000000000000000173472347597681,0.190805467733448,0.0875156835191789,0,0,0.0225496733820329,0.0565112427108682,0.0793150557601593,0,0,0,0,0
DASH,0,0,0,0.0753572994126549,0.0326982529944033,0.112800018704235,0.038879624013265,0.00786826765800697,0,0,0,0,0.0682698076428721,0.0888699716548236,0.0920018933793443,0,0,0,0,0
XMR,0,0,0,0,0,0,0.07770856005467,0,0.144340592239801,0.0515484047228867,0.0398726793716671,0.253175480733065,0,0,0.0340933868479732,0,0,0,0,0
TRX,0.296155207000603,0,0,0.166763023926244,0.133713526104439,0.0927969860096859,0,0,0,0,0,0.123808741295104,0,0,0,0,0,0,0,0
BTG,0,0,0,0.47977631169332,0.00905403486864728,0,0,0.00309491808515689,0,0,0,0,0.0836588940635931,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417242157014391,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00267212586815032,0,0,0,0,0,0,0,0,0,0,0.00240638193492223,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00000000341299470405421,0,0.0000000100354592757189,0,0,0,0,0,0,0,0,-0.015973228287971
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
