,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,ADA,TRX,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0350286862123918,0,0.295738821728683,0.00590330016809119,0,0,0,0,0,0,0,0.0432411339968139,0,0,0,0,0
ETH,0,0,0,0.0867709638541555,0.0157658053109217,0.241484785757149,0,0,0,0,0,0,0,0,0.0375235520873437,0,0,0,0,0
XRP,0,0,0,0.115231417271844,0.118297731070805,0.138157422108329,0,0,0,0,0,0.0518864211936367,0,0,0.0909471787312012,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0487829356426628,0.223748672846055,0,0,0,0.229955983348004,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0420017041998366,0,0.486046907505194,0,0,0,0,0,0.0139508176815973,0,0,0.0498654637591265,0,0,0,0,0
EOS,0,0,0,0.0214361029603623,0.502145900156751,0,0,0.00399930962336203,0,0,0,0.186248675097322,0,0,0.0813606917145926,0,0,0,0,0
BNB,0,0,0,0.125066507117871,0,0.181676923537516,0,0,0,0,0,0.107527610624796,0,0,0.0175766660596497,0,0,0,0,0
BSV,0,0,0,0.180350355876157,0.164928356086046,0.158807987058192,0,0,0,0,0,0,0,0,0.125881863729403,0,0,0,0,0
XTZ,0.0937922813420838,0,0.300793123084706,0.1805624706395,0,0,0,0,0,0,0,0,0,0,0.0477619128196827,0,0,0,0,0
XLM,0,0,0,0,0,0.303152388296019,0,0.0478365496426218,0,0,0,0.116231429607646,0,0,0.0318089873674686,0,0,0,0,0
ADA,0,0,0,0,0,0.404858815867095,0.0451393994579598,0.0454695621402577,0,0,0,0.108684488797592,0,0,0.0230039221840081,0,0,0,0,0
TRX,0,0,0,0.428180001784279,0,0.147552534546615,0.0722192689144577,0,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0.10101685698579,0,0,-0.00000000000000000693889390390723,0.00160064757127613,0,0.0757859369429451,0,0.0375509533179342,0.0802855542488167,0.00667750591209985,0,0,-0.0914461200610582,-0.0359657297950523,-0.163758751732282,0,0,0,0
XMR,0,0,0,0.383301607096821,0,0,0.173379856947217,0,0,0,0,0.0254392365989528,0,0,0.0759241095239072,0,0,0,0,0
ATOM,0,0,0,0,0.000120253251356492,0.0679949388744714,0,0.126176650870652,0.199917421722575,0.364680291639521,0.04541639509012,0,0,0,0,0,0,0,0,-0.122505091076516
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441843518354545
CVIX.INDEX,0,0,0,0,0,0,0,0.000000495154321191992,0.0000000000000000000000132348898008484,0.000000746773566625389,0,-0.000000516487333662501,0,0,0,-0.223002163893933,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.000000120751708044307,0.00000151969611925309,0,0,0,0,0,0.000000116344361868129,0.0467090506123355,0.016164234419442,0,0,-0.00308885352708685
SPX.INDEX,0,0,0,0,0,0.00000203645566984762,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480359097736047
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
