,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.381407747896337,0,0,0,0.0695932451980575,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0327879059208344,0,0.220496616181231,0,0.0143222009402737,0.00494011488990103,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.180124075436854,-0.00835616022354716,0,0,0,0,0,0.0586382627542766
LTC,0.551878595278778,0,0,0,0.0133047191210347,0,0,-0.00000000000000000010842021724855,0.00705219467516703,0,0,0,0,0,-0.00282639101333379
DOGE,0,0,0,0.319864147488968,0,0,0.0674567502546593,0,0.035893048398842,0,0,0,0,0,0
DASH,0.233014154824869,0.0919313819964136,-0.436407035443099,0,0,0,0,0,-0.00748636108560658,0.00880739677745115,0,0,0,0,0
XLM,0,0,0,0,0.191027390200492,0,0,0,0.0186876812932123,0.0580697151393064,0,0,0,0,0
XMR,0.735719486818022,0,0,0,0.0505566949212628,-0.140019287007587,0,0,-0.0305786916951779,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.575295603584133,0,0,0,0,-0.00820270491766811,0.0945590952300008,-0.104318012490304,0.0221961537184688,0,0,0,0,0,0.205941666171578
BV010082.INDEX,0,0,0,0,0.00982874468395868,0,0,0,0,0,0,0,0,0,-0.0288434002144164
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.0000000289570708948278,0,0,0,0,0,-0.00967228352518321
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903059979955779
VIX.INDEX,0,0.0000134502080570067,0,0,0.00000554923694915474,0,0,0,-0.00000210436188398818,0,0,0,0,-2.44897732440564,0
