,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.041251761561543,0,0.0468299586484399,0.000415483801235223,0,0.0986167230542755,0,0,0,0.0130737089879288,0.0158597182097109,0,0.140612054352445,0,0,0,0,0,0
ETH,0,0,0.236365384488903,0.022979503254953,0.000000000000000000867361737988404,0,0.00354207499198551,0,0,0.170011083384687,0.0346664393911273,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0294865454267862,0,0.0964032711278883,0.0788339226275877,0,0.0820059260940261,0,0,0,0.227624676050083,0,0,0,0,0,0
BCH,0,0,0,0,0.000000000000000000867361737988404,0,0.0364904009924499,0.0345545553677949,0,0.160882829789128,0.000049245895964884,0.324567370630737,0,0,0.0832173539069918,0,0,0,0,0
EOS,0,0,0.219841459548652,0.00000000000000000010842021724855,0,0,0.105226251301812,0,0.216563302809148,0,0,0,0,0,0,0,0,0,0,-0.0419303507454268
LTC,0,0.0840879166153953,0.158841483853578,0.137758118103831,-0.000000000000000000867361737988404,0,0,0.06679363424371,0,0.0951578411413819,0.0275339362625582,0,0,0,0,0,0,0,0,0
ADA,0,0,0.229749857652199,-0.00000000000000000693889390390723,0.0426762980090932,0,0,0.268264749152268,0,0.000505048151510569,0.0311074951755396,0,0,0.0671969424291783,0,0,0,0,0,0
XLM,0,0,0,0,0.112312751121046,0,0.222178933021639,0,0,-0.000000000000000000867361737988404,0,0,0,0.283621474448301,0,0,0,0,0,0
TRX,0,0,0,0.153952959873586,0.146386525176307,0,0,0.192510157865477,0,0,0,0,0,0.218261142116868,0,0,0,0,0,0
MIOTA,0,0,0,0.306346090935093,-0.00000000000000000173472347597681,0,0.258867084206772,0,0.0230071682611234,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0738012046286431,0.0937184146226168,0,0.0456213119488438,0.106504186522276,0,0.105382257718483,0,0,0,0.187340679735392,0.144965792476467,0,0,0,0,0
DASH,0,0,0,0.106891704794682,0,0,0,0.0827693059497945,0.0190632195510072,0.30399016443627,0.0050315337825503,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.0960678607334957,0,0,0.0433597837592331,0.304284908672514,0,0.0879788088659077,0,0,0,0,0,0
XEM,0,0,0,0.00549263414170922,0,0,0.0886940067539585,0.207209797271359,0.022191676712271,0.248807724622853,0.00677224202363109,0,0,0,0.0660303008919782,0,0,0,0,0
ETC,0,0,0,0.163381386502582,0.056533167180428,0,0,0,0,0.0216265173244666,0,0,0.0874301202087415,0.243935214498798,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00407557154807081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368868765424374
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100861464202268
VIX.INDEX,0,0,0,0,-0.0261052813340356,0,0,-0.00790617934588956,0,-0.000000000000000000433680868994202,0.0164613456393082,0,0,0,0,0,0,0,-3.00803970722663,0
