,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0349950173068544,0.0884326454516854,0,0.148834108241306,0.555564965198497,0,0,0.0273847144455047,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0.244180851578836,0,-0.102260159259659,0,0,0,0,0
LTC,0,0.0531375930088512,0,0,0,0,0,0,0,0.197902799251176,0.0785662056168853,0,-0.0219294985170262,0,0,0,0,0
DASH,0,0,-0.124955737402275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.00458618450147977,-0.173076631451481,0.0133194813233458,0,0.206433223186747,0,0.112678114661294,-0.21327085365331,0,0,0.222018009458003,0,-0.185439050864257,0,0,-0.10675859544464
ETC,0,0.39195079570982,-0.0313526694072338,0.114215184267072,0,0.00786901170140257,0,0,0.0735002822741598,0,0,0,0,0,-0.121513668257502,0,0,0
XMR,0,0.345274755270955,0,0,0,0.118219104744143,0,0,0.0265827971619019,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.0131480007853292,0,0.12259702595889,0.0564081973999668,0.169353983333386,0.0228862381992424,0,0.0320620614743535,0,0.328174092615544,0,0,0,0,0,0
DOGE,0,0.109843607425198,0.154437018915751,0.0757194139830669,0,0,0,0,0.0859555624896108,0,0.135323019438922,0,0,0,0,0,0,0
XLM,0,0,0.309616278891687,0.138628481686195,0,0,0,0,0,0,0,0,0.021516964852179,0,0,0,0,0
NEO,0,-0.0714690388958511,0,-0.0277858971358548,0.136235944855828,0,0,0,0.0927316716145693,0.0827992528407106,0,0,0,0,0,0,0,0
DGB,0,0,-0.244489113205483,-0.16982838740739,0,0.125982353747329,0,0,0,0,0.500057256313591,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353095310619452
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000000157101586007481,0,0,0.00000137023592061706,0,0.00000025270869557889,0,0,0,0,0,0,0,0,0,-0.0325055677488634
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
