,BTC,ETH,XRP,BCH,LTC,EOS,ADA,NEO,XLM,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0576831582517815,0,0.0405625851980212,0,0.0144779951396852,0.201476193747346,0.165606614696808,0.100112892155375,0,0,0,0,0,0,0
ETH,0,0,0,0.0800560202462456,0,0.129397875704977,0,0.0808206719549795,0,0,0.0789986883357043,0.108750370637175,0.0251805329211839,0,0.0133545763876925,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0996480038894296,0,0.128711508868383,0,0,0.134901553721881,0.0476923762810296,0.0177138667024625,0.130175679388269,0,0,0,0,0
BCH,0,0,0,0,0.0467820090092523,0,0,0.0596060247942303,0,0.159060171486579,0.0852602375201919,-0.00000000000000000346944695195361,0.0806957258943906,0,0.0912205001857797,0,0,0,0,0
LTC,0,0,0,0.0795873125928315,0,0,0.0146916755797844,0,0,0,0,0.184136194971472,0.147387918498222,0,0.109783280248334,0,0,0,0,0
EOS,0,0,0,0,0,0,0.122122677116188,0,0,0,0,0.0445453211035653,0.272890003826267,0,0.268110295549557,0,0,0,0,0
ADA,0,0,0.137201486947019,0,0,0.173762174006201,0,0,0.251915503225233,0,0,0.0596783714426666,0.034275265219349,0.0724969297016421,0,0,0,0,0,0
NEO,0,0,0,0.0505353466676906,0,0.0469804573306034,0,0,0.118488580001528,0.330735528315393,0,0.0575917472115965,-0.00000000000000000173472347597681,0,0.0408118158652405,0,0,0,0,0
XLM,0,0,0,0,0,0.00785869396874429,0.384846172299328,0,0,0,0,0,0.152208260160821,0,0.12990767623683,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.0240456790328272,0,0,0,0.3745217565315,0.192503187415857,0,0.0914615967873409,0,0,0,0,0
DASH,0,0,0,0.258094485467229,0,0,0,0,0.0930218035951508,0,0,0.144016371607665,0.121527747058486,0,0,0,0,0,0,0
XMR,0,0,0,0,0.13465574400648,0,0,0.126265125412294,0,0,0.492791641772993,0,0.0364755264272015,0,0,0,0,0,0,0
TRX,0,0,0,0.116953546107612,0,0.0568165759831712,0,0.163466781018711,0,0.207364877892346,0.206884027227902,0.0812989819971872,0,0.117132918284204,0,0,0,0,0,0.0269543552121277
XEM,0,0,0,0,0,0.0340486921038676,0.173802812569657,0,0,0,0,0,0.314679612579258,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.240822113249174,0,0.302307755701591,0,0,0,0,0.158765224208559,0.0485626545097769,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0255024216986506,0.0365291848305754,0,0.00314570443448092,0,-0.0152540535111517,0,0,0,0,0,-0.00155322790946312,0,0,0.101302905917038,0,0,-0.0450900955638835
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307883278439293
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544647208144679
VIX.INDEX,0,0,0,-0.0284052665095278,0,-0.0426062119294021,0.0205137538510552,0,0,-0.0647484857049686,0,0,0.114186785710473,0,0.000000000000000000216840434497101,0,0,0,-3.49423240750984,0
