,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.0204561647362912,0,0,0.203345105837446,0,0,0,0,0,0,0.00718903374889125,0,0,0,0,0
XRP,0,0,0,0,0,-0.105561906000231,0,0,0.421756659470551,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.052345343320036,0.123485659938023,0,-0.0816232986299667,0,0,0,0,0,0
ETC,0,0.297095201780847,0,0,0.0140574164331425,0,0.119907867654194,0,-0.0199303421453022,0,0.00473668919492194,0,0,0,0,0,0,0
DASH,0,0,-0.0851852450612594,0,0,0,0,0.263232033771723,0.0109939355362741,0,0.147127663569435,-0.00531729783901164,0,0,0,0,0,0
XMR,0,0,0,0.0808134419952211,-0.0000000000000000000067762635780344,0,0.0814271960954344,0,0.0213558972437438,0,0,0,0.115921941559395,0,0,0,0,0
XLM,0,0,0.3869537399612,0,0.0325438395769434,0.0612201732574318,0,0,0,0.176696672067405,0,0.0374628523802144,0,0,0,0,0,0
DOGE,0,0,0.100199135821204,0,0.0894544665494737,0,0,0,0.129660954933806,0,0.248389598256892,0,0.0237081085447648,0,0,0,0,0
ZEC,0,0,0,0.0324740041068639,0,0.0663601853994153,0.105357559296348,0,0,0.0479502977798899,0,-0.0000000000000000000542101086242752,0.196883736965007,0,0,0,0,-0.0359154149648527
DGB,0,-0.000180826903736289,-0.280003610155862,0.0519395571567644,-0.156995213578965,-0.136765368208286,0,0,0.385161523623405,0.321032332612112,0,0,0.0494470221124155,0,0,0,0,-0.330816995203887
NEO,0,0,0,0,0,0,0,0.213263093529112,0,0.0475369045183627,0.129021471039207,0.00494306811917433,0,0,0,0,0,-0.0506387265793635
BV010082.INDEX,0,0,0,0,0,0,0,0,0.000068257252182935,0,0,0,0,0,0,0,0,-0.083976507013293
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00355266096016106,0,0,0,0,0,0,-0.000326529844079974,0,0,-0.00287182818758096,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000502135030085835,0,0,0.000151196339029136,0,0,0,0,0,-0.0259494248573764
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
