,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00316566049678823,0.0860856504675012,0.0645230715247198,0,0,0,0.0147718336408325,0,0.0437666861791899,0,0,0,0,0,0,0,0,0
ETH,0,0,0.153923638391158,0,0.0139877638914504,0,0,0.0349655586967407,0,0,0.0433022100984953,0.208349164237565,0,0,0,0,0,0,0,0
XRP,0,0.15728691310333,0,0,0.0350043619560376,0,0,0,0,0,0.229677733356128,0,0.0791682292712774,0,0,0,0,0,0,0
BCH,0,0,0.108380353209462,0,0.0596812646081869,0,0,0,0,0.0140864201294348,0.0171611582101568,0.255628938688262,0.0161826654628122,0,0,0,0,0,0,0
EOS,0,0,0.0858108845903553,0,0,0,0,0,0,0,0,0.2419741504134,0.206491816272335,0,0,0,0,0,0,0
XLM,0,0,0.119450726466401,0,0,0,0,0,0.00736488489687226,0,0,0,0.307297073850326,0,0,0,0,0,0,0
LTC,0,0,0.0439221212682888,0.0515116639094198,0.0241349166813771,0,0,0,0,0,0.0646488300938942,0.0932779002946828,0.0583673532367026,0,0,0,0,0,0,0
ADA,0,0,0.0645975032629185,0,0.261171727914168,0.0209900504572835,0,0,0,0.0229987343189557,0,0.189754495189722,0.184810035127215,0,0,0,0,0,0,0
XMR,0,0.325480772644613,0.086203121549641,0,0,0,0,0,0,0.0882259641028819,0.048132926936604,0,0.0911069826780811,0,0,0,0,0,0,0
DASH,0,0,0.0185251620821934,0,0,0,0,0,0,0,0.0498548481253795,0.0444598081291722,0.343245555266941,0,0,0,0,0,0,0
MIOTA,0,0,0.0232999574117496,0,0,0,0,0,0,0,0,0.249669492466507,0.524028990140565,0,0.192572543990831,0,0,0,0,0
TRX,0,0,0,0,0.161918370032738,0,0,0.0703807275265131,0,0,0.193748729308999,0,0.26064980806659,0,0,0,0,0,0,0
NEO,0,0,0.0825315710563198,0,0.16571769689447,0,0,0,0,0,0.334519832141863,0.0765000996206466,0,0,0,0,0,0,0,0
ETC,0,0.198114095023711,0.00612336124235472,0,0.120828971522474,0,0,0,0,0,0.194458851204242,0,0,0,0,0,0,0,0,0
BNB,0,0,0.032874713325006,0,0.145130616713637,0,0,0,0,0.0197063238901895,0.0267255453497541,0,0.182882907399722,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0204124072743163,-0.0159344161048565,0,0,0,0,-0.0461550425872984,0,0,0,0,0,0.0300833478089627,0,0,0,0,-0.0556722195823044
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00315901029093918,0.000444763441754927,0,0,0,0,0,0.000594673372243929,0,0,0,0,0,0,0.037241287450157,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460497000266771
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
