,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0945483123741202,0.086152454752979,0,0,0,0,0,0,0,0.161556614144607,0.0842373537822189,0,0,0,0,0,0
XRP,0,0,0.00154752322862147,0.015080831678752,0.0444086431306424,0,0.0181437913807807,0,0,0.109125076353428,0.0568701743195807,0.0538664519081617,0.19633008936654,0,0,0,0,0,0,0
ETH,0,0,0,0.0964586176262522,0.224697152069306,0,0,0,0,0,0,0,0.172221140590749,0.0716703742491762,0,0,0,0,0,0
BCH,0,0,0,0,0.359260632903806,0,0.0715275471188476,0.100712332706937,0.0567054249915217,0,0,0,0,0.0999877346901622,0,0,0,0,0,0
EOS,0,0,0.185840470578893,0.0577547753572498,0,0,0,0,0,0.439995257208661,0,0,0,0.11735584598449,0,0,0,0,0,0
XLM,0,0,0,0.0906664734169095,0.172456917500265,0,0,0,0,0.0917268340320881,0,0,0.15197062563358,0.065417643988849,0,0,0,0,0,0
LTC,0,0,0.105504986780859,0,0.181490456107613,0,0,0,0,0,0,0,0.225421544520473,0.110740749436064,0,0,0,0,0,0
TRX,0,0,0,0.103587455804459,0,0,0,0,0,0.451184549322708,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.601360204268341,0,0,0,0,0,0,0,0,0,0.0361148872932521,0,0,0,0,0,0
ADA,0,0,0.247500131782805,0.0367950490343041,0.298083019990052,0.00699576732850527,0,0.0953304355751448,0,0,0,0.00690770577916802,0.118860518448824,0,0,0,0,0,0,0
BNB,0,0,0,0,0.173658594986129,0.248254626857471,0.0191343442542949,0.138337081687415,0,0.0658965683797157,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0,0
MIOTA,0,0,0.248965412068263,0,0.150030408871291,0,0,0,0.0463522408349822,0,0,0,0.0164527936299012,0.263796619415423,0,0,0,0,0,0
XMR,0,0,0.0144243397830973,0.0774908072595199,0.0984424812976366,0,0,0,0,0.0684158097471176,0,0.0555041705121095,0,0.327912600486501,0,0,0,0,0,0
DASH,0,0,0,0.127915951479381,0.21405696022574,0,0,0,0,0.0725083969510546,0,0,0.140435351699725,0,0,0,0,0,0,0
XEM,0,0,0.0934581129449231,0.0903207988537339,0,0,0,0,0,0.140093927743817,0,0,0.181761599915714,0.0231632181627,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00254969884348129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0608808931937945
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00219943052339596
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115099692021296
VIX.INDEX,0,0,0,0,0,0,0,0.0000148677783406789,0.00000161045638169784,0,0,-0.00000126372670961473,-0.00000902521848651007,0,0,-0.328006505763731,0,0,-2.68975637220555,0
