,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00242233967435881,0.0418058072007829,0.0622719815309492,0,0,0,0.00599593380467007,0.0753490931374278,0.0118427161929814,0.0244250570695988,0,0,0,0,0,0,0,0
ETH,0,0,0.159977450852862,0,0,0,0,0.0488825181701592,0,0.0601429992112481,0,0.163274799310246,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.311568910227385,0,0,0.0656199554122212,0,0,0,0,0,0,0
BCH,0,0,0.109234100389386,0,0.0960314047570287,0,0,0,0,0.0382807024431966,0.0142165916498007,0.186363966914472,0.0375364221878224,0,0,0,0,0,0,0
EOS,0,0,0.0994531749458008,0,0,0,0,0.0918111819882969,0,0.0624471394947414,0,0.137089967570062,0.178967231095829,0,0,0,0,0,0,0
XLM,0,0,0.05495374776799,0,0,0,0,0.207943286253616,0,0.0537753596157586,0.0495776524956977,0,0.0906783123972674,0,0,0,0,0,0,0
LTC,0,0,0,0.0325493436237129,0,0,0,0.154799940640389,0,0.133770785591202,0,0,0.0272029756292871,0,0,0,0,0,0,0
ADA,0,0,0.0933144641337839,0,0.1381739298044,0,0,0,0,0,0.0385187663868301,0.212191538799162,0.191622324742133,0,0,0,0,0,0,0
XMR,0,0.103106036502203,0.109446731981385,0.0516254842650049,0,0,0,0.0200386074438954,0,0.111039578222905,0.118277050478257,0,0.0541084434642275,0,0,0,0,0,0,0
MIOTA,0,0,0.0354430504173337,0,0,0,0,0,0,0,0,0.429284492243971,0.455572188240075,0,0,0,0,0,0,0
DASH,0,0,0.0297248277009827,0,0,0,0,0,0,0.073882071925908,0,0.0226526274364504,0.333704194133982,0,0,0,0,0,0,0
TRX,0,0,0,0,0.138013780492961,0,0,0.2778943105597,0,0.184758163604614,0,0,0.146340993718423,0,0,0,0,0,0,0
NEO,0,0,0.0538147636857519,0,0.0414562400024289,0,0,0,0,0.30250151863235,0,0.199395938860913,0,0,0,0,0,0,0,0
ETC,0,0.185694762291032,0.0109257827523101,0,0.108551887809143,0,0,0,0,0.206839885710539,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0452168901332134,0,0.100321467536616,0,0,0,0,0.0284827039467745,0.0115178889185172,0,0.194545128384154,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0330810479751297,-0.0369260841131999,0.0228621337973995,-0.0106699544675395,-0.0363668946428377,0,-0.0182988542880989,-0.00300282827565028,0,0,0,0,0.0230927629789532,0,0,0,0,-0.0476215281394787
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00446318461029001,0,0,0,0,0,0,0.000508646966693505,0.000671791671528449,0,-0.0000000000000000000271050543121376,0,0,0,0.0540526527652374,0,0,-0.00468232117334485
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461136962773246
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
