,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,NEO,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0.0391741491221246,0,0,0,0.0265746075558192,0,0,0,0,0,0
ETH,0,0,0,0.0751072206492444,0,0.176640647880734,0,0.00010091809072707,0.0798178239568902,0,0.0340106860487535,0,0,0.0579096434161062,0.0441517461032758,0,0,0,0,0
XRP,0,0,0,0,0.115840426898842,0,0.108560780542243,0,0,0,0,0,0,0.030124404139404,0,0,0,0,0,0
BCH,0,0,0,0,0,0.120267012696315,0.0754168351683775,0,0.148437376412117,0,0.0608404698861921,0.0162233051119089,0,0,0.151789382901593,0,0,0,0,0
ADA,0,0,0.198694612314832,0,0,0,0.057578952902599,0.455499584761133,0,0.0451625731480278,0,0,0,0,0,0,0,0,0,0
LTC,0.21600245963952,0.326188451478698,0,0,0,0,0.238717520626489,0,0,0.0458200538049102,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.125491291158438,0,0.0176708116071868,0.041364164284514,0,0.28801860819878,0,0,0,0,0,0,0.0775223315231469,0,0,0,0,0
XLM,0,0,0.0454749392038441,0,0.34375059248725,0,0.0052973528342472,0,0,0.166166023366702,0.106805519588535,0,0.136337402034973,-0.027390795461575,-0.0121573540686572,0,0,0,0,0
NEO,0,0.179169662610773,0.0840359948017882,0.106636636509825,0,0,0,0.185420512929417,0,0,0.00622773957112756,0,0.0342106496911093,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.141219043993736,0.147520935511462,0.134961134249693,0.0460480507680964,0,0,0.0536441749100921,0,0,0,0.0104160260585773,0,0,0,0,0
EOS,0,0,0,0.0995809663723907,0,0.217269324264201,0,0.198851974323375,0,0.051867479089233,0,0,0,0.0613600414099849,0.0544690001428656,0,0,0,0,0
DASH,0,0,0,0.0758420349027103,0.0174217588299734,0.119304155922196,0.00760249381211544,0,0.0341393243118402,0,0,0,0.078707999701989,0.0888716064338454,0.088541384208151,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.139960296413377,0.0858356963231925,0.0508933646424915,0.0297280781338593,0.221782708008533,0,0,0.0413944273766998,0,0,0,0,0
TRX,0.247375926578932,0,0,0.179548570161096,0.131346700531502,0.063092325774371,0,0,0,0,0,0.0653698608317128,0,0,0,0,0,0,0,0
BTG,0,0,0.0153793883955838,0.474209591198795,0.000000000000000000867361737988404,0,0.000646089171921549,0,0,0,0.00847134044632704,0.0875829266209913,0.058143445604434,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00544575941710158,0,0,0.00281958341077415,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00284692509934848,-0.000758393747954099,0,0,0,0,0,0,0,0,0,0.00340232108888839,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
