,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0675284766585409,0,0.0252686490358914,0.105139082906621,0,0,0.0271158569579156,0,0,0.0631093111483995,0,0,0,0,0,0
ETH,0,0,0,0,0.0659669866099525,0,0.0209182105873197,0.106034910787024,0,0,0,0,0,0.0329161426599378,0.0410316037711202,0,0,0,0,0
BCH,0,0,0,0,0,0,0.52506130879959,0,0,0,0,0,0,0,0.0904108350871711,0,0,0,0,0
XRP,0,0,0,0,0.0445941693891094,0,0,0,0,0,0.00876524625397389,0,0,0,0.310744204517996,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.627912153632487,0,0,0,0,0.0539528586475247,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0490456186558306,0,0,0,0.134726779068767,0,0.0624602873745625,0,0,0,0,0,0
XEM,0,0.161480733481935,0.0934612821336948,0,0,0,0,0.0783761377356089,0,0,0.00175052828123792,0,0,0.135217203138328,0.139253330892598,0,0,0,0,0
MIOTA,0,0.0879759289510831,0,0,0,0,0.207189123293386,0,0,0,0,0.228601570345467,0.0277228601389474,0.208796105944883,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.00613322870142941,0,0,0,0.108035240844141,0.00719299785377265,0,0.254288606773218,0,0,0,0,0
ETC,0,0,0,0,0.356138415843828,0,0,0,0,0,0,0,0,0.0476772370925142,0.116361541362047,0,0,0,0,0
NEO,0,0.238182924142697,-0.00000000000000000346944695195361,0,0,0,0.273011189331409,0,0,0,0,0,0.461988734784732,0.00000000000000000693889390390723,0,0,0,0,0,-0.0959734686478771
ZEC,0,0.0584200433265258,0,0,0,0.157613095828604,0.00123628717389499,0,0.164881975925533,0,0,0,-0.00000000000000000010842021724855,0,0.0842521160066099,0,0,0,0,0
EOS,0,0,0,0,0.0715659795703683,0,0.0960785220761201,0.035335621126651,0,0,0.0502187830534721,0.00910552510010463,0,0.0269040916999884,0.131160455039663,0,0,0,0,0
BAT,0,0.392271845744374,0,0,0.100264764811449,0.0316208292402085,0,0.0408514261223455,0,0,0.215299205629809,0,0.0812398914975492,0,0,0,0,0,0,0
XLM,0,0,0,0.198218540386629,0,0,0,0,0.238609067440252,0.218486070743315,0,0.183043129320005,0,0.0824300969633626,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043094288693086
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013251292136273
DXY.INDEX,0,0,-0.000210040107914428,0,0,-0.00677299058020561,0,0,0,-0.00507220045318029,0,0,0,-0.00355763032581726,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000183273084119936,0,0.000000126127584125684,0,0,0,0,0,0,0,0,-0.0397019665758957
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
