,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0985941696616633,0.116044907153555,0,0,0,0,0.0114465070383478,0.0761035392381042,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.172866253325548,0,0,0.112640740311782,0.265106686906466,0,0.0756556318072012,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.172285560269041,0,0,0.0826174509574813,0.118110947227781,0,0.0582030871757396,0,0,0.0571732887461111,0,0,0,0,0
LTC,0,0,0,0,0.0929624897270757,0.228186225902121,0,-0.000000000000000000433680868994202,0,0.171180447091744,0,0.141959203566742,0,0,0,0,0,0,0,0
BCH,0.0392039489055867,0,0,0,0,0.269792763045044,0,0.0193586195835658,0,0.083373753525634,0,0.0272878261437192,0,0,0,0,0,0,0,0
EOS,0,0.143966888022081,0,0.18067826494745,0.134964016077649,0,0,0.0110200339824961,0,0.0719925828528215,0,0,0,0.0171864960833078,0,0,0,0,0,0
BNB,0,0,0,0.197554686131566,0.0789487884920967,0,0,0.0188295308853899,0,0,0,0,0,0.0616357475828771,0,0,0,0,0,0
BSV,0,0,0,0,0,0.147063706215429,0,0,0,0,0.15321163362805,0,0,0,0.337373664604673,0,0,0,0,0
XLM,0,0,0,0.0293782981099086,0,0.0658558636799158,0,0,0,0.305667921680253,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.192900941519012,0.0846166884349693,0,0.112739118604429,0,0,0,0,0.272785260102143,0.0665491306047265,0,0,0.0304369698705127,0,0,0,0,0
TRX,0,0,0,0,0,0.179329097869827,0,0.0199983295626492,0,0.388263672280247,0,0,0,0,0,0,0,0,0,0.0765233449511977
XMR,0,0.102844292927863,0,0.0478216679685355,0,0.0324339705144448,0,0.0216932856404823,0,0.18463810582161,0,0,0,0.0177167297966691,0.0372295631764302,0,0,0,0,0
DASH,0,0,0,0,0,0.0561747929259823,0,0,0,0.240826612715692,0,0.0155818780034851,0,0.0441252337133393,0.0391691829786212,0,0,0,0,0
ATOM,0,0,0,0,0,0.110583085234966,0.279386196720933,0,0,0,0.112764569086184,0.118030305011008,0.0151097715791193,0,0,0,0,0,0,0
MIOTA,0,0,0.315001976817978,0,0,0.159689882746723,0,0.144027311233539,0,0.144506413882794,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535285855848769
CVIX.INDEX,0,0,0,0,0,0,0,-0.0352050288654269,0,0,0,0,0,0,0,0,0,0,0,0.0616802992844896
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00000141087100714632,0,0,0,0,0,0,0,0,0,0,0,-0.0618164658130475
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
