,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.100699977132813,0.0277456978232569,0,0.02208161191892,0,0,0,0,0.0229070158434817,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.117334699084367,0.0352778321211415,0,0,0,0.170376739770384,0,0.0900934934962949,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0737912348118941,0,0,0,0,0,0.361666914107566,0,0,0,0.255045661288639,0,0,0,0,0,0,0,0
BCH,0,0.422831485361337,-0.000000000000000000216840434497101,0,0,0,0,0.110683633286346,0,0.0566012302241744,0,0.0351959151084536,0,0,0,0,0,0,0,0
EOS,0,0.330821898588627,0.101348025257179,0.043150322913356,0,0,0,0.0629301385221678,0,0,0,0,0,0,0,0,0,0,0,-0.0242808202585163
XLM,0,0,0.215162956061356,0,0,0,0,0.348820894499716,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0762369857066785,0.0375153278135224,0.0489361504415254,0,0,0,0.15163435812966,0,0,0,0.0920578678894958,0,0,0,0,0,0,0,0
ADA,0,0.176269147836856,0.136114602191577,0,0,0.317936214756866,0,0,0,0.0288771339961262,0,0,0,0.0227956286851258,0,0,0,0,0,0
XMR,0,0.285140328708118,0.0932260634047838,0.00623980258982767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0.412856993380877,0,0,0,0,0,0.264599144928334,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.138722358163594,0.0624926508253368,0.0425315658708129,0.190880364473651,0,0,0.00362610032369826,0,0.00485680535453454,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.05114364551907,0.0641490699559741,0,0,0,0,0,0.179163892592628,0.12565893527817,0,0,0,0.331265605519206,0,0,0,0,0,0
BNB,0,0.0892936540759369,0.027130141597315,0.00249507475409243,0,0,0,-0.000000000000000000867361737988404,0,0.114104828020288,0,0,0,0,0,0,0,0,0,0
NEO,0,0.0998731162590166,0,0.0126761861883063,0,0,0,0.196641184606646,0,0,0,0.279618672066528,0,0,0,0,0,0,0,0
ETC,0,0.254285380575144,0.015395187303176,0,0,0.0178417157948013,0,0.101712470645008,0,0,0,0.0101937391658086,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0198784802562162,0,0,0,0,0,0,0,0,0,-0.0412069129301677
CVIX.INDEX,0,0,0.000000830557983712619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019296958333961
DXY.INDEX,0,0,-0.0062721103488774,0,0,0,0,0,0,0,0,0,0,0,0,0.0335170074116746,0,0,0,-0.00679981706128862
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727145325822724
VIX.INDEX,0,-0.000258181741724729,0,0.0000836930856910449,0,0,0,0,0,0,0,0,0,-0.000100315529251072,0,0,0.195026022702317,0,-2.52678285559372,0
