,BTC,ETH,XRP,BCH,ADA,LTC,XLM,XEM,EOS,NEO,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.00966501972494579,0,0.04977624762279,0,0.0555397581999474,0,0,0.0292183741276103,0.0120854092003081,0,0,0,0,0
ETH,0,0,0,0,0,0.147181356190467,0,0,0,0.0813465714745331,0,0,0,0.0228231416081959,0.149766897821526,0,0,0,0,0
XRP,0,0,0,0,0.106046841173786,0,0.0673425886688119,0.117466208435087,0,0,0,0,0,0.072890268994861,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0520671220626208,0,0.0749237582942893,0.0384433325845999,0.0135232977438878,0,0,0,0,0.378234864870001,0,0,0,0,0
ADA,0,0,0.0582354462691931,0,0,0,0.366723231524331,0.0786853425096228,0,0,0,0,0,0.0197270342480142,0,0,0,0,0,0
LTC,0.155341442884934,0,0,0.0376631595062939,0,0,0,0.205498079569233,0,0,0.0498506217183243,0.112182149475825,0,0,0.14855633275323,0,0,0,0,0
XLM,0,0,0.0966687332264463,0,0.295766342065715,0,0,0.000000000000000000433680868994202,0.0451017670767209,0,0.207773122037155,0,0.0433874239915787,0,0,0,0,0,0,0
XEM,0,0,0.121951582656194,0,0.0133264199847464,0.0278417060308466,0.284020595018953,0,0,0,0.0452920850581686,0,0,0,0.146997636411177,0,0,0,0,0
EOS,0,0,0,0,0,0.0567228936719845,0.166604510353466,0.0337966712359178,0,0,0.0708320850151688,0,0.107538244252852,0.0527293897657547,0.397440434105989,0,0,0,0,0
NEO,0,0.148860350238046,0,0,0,0,0.166094537003788,0.0307416902196871,0,0,0,0,0.107372374941747,0,0,0,0,0,0,0
MIOTA,0,0,-0.0188320482144757,0,0,0.0903865059489709,0.265261826549584,0.162018040348692,0.0933950388409522,0,0,0,0,0.0742643403311432,0,0,0,0,0,0
DASH,0,0,0,0.103700743126062,0.0162549651909087,0.119917706024696,0,0.00753875759345821,0,0.0699772008737874,0,0,0.0618665540678103,0.0997754169851942,0.0916318323947603,0,0,0,0,0
XMR,0,0,0,0,-0.000000000000000000433680868994202,0,0.137558097206242,0,0.0417190962383296,0.109449108850815,0.0684674581486446,0.246988621902089,0,0.0136932439446729,0.084456612644383,0,0,0,0,0
TRX,0,0,0,0.162762453250805,0.130070713379771,0.0580989813944387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0,0.502408059407101,0.018716513349923,0,0,0.000591812434441079,0,0.0202883709639886,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00557948591073827,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00264344119842895,0,0,0,0,0,0,0,0,0,0,0.00245622602428557,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
