,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,XEM,DASH,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.156849374186037,0,0.00935297244635595,0.0100476111688954,0,0,0,0,0.0102211866655187,0.144310790465689,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.180949131196098,0.00649779351214239,0,0,0,0,0,0.0560935258762011,0,0.0618335167224735,0.0518232499447363,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0454686390443679,0.304733690609391,0,0.183623653407982,0.120069493717001,0,0.0423514747987029,0,0,0,0,0,0
XRP,0,0,0,0,0,0.078476344652137,0,0.112417857039099,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0257170169159494,0.156181298130317,0,0,0,0,0,0,0.0802927493452023,0,0,0,0,0
ADA,0,0,0,0.117239518271799,0,0,0.0279119773490252,0.0361185497773103,0,0,0,0,0.362108915254346,0,0.230704888714152,0,0,0,0,0
MIOTA,0,0,0,0,0,0.125025596171759,0,0.161041926146389,0,0.147137690603387,0,0,0.213123038693696,0,0.105889116597904,0,0,0,0,0
XEM,0,0,0,0.0955340792526827,0,0.168318898458958,0.0733343888759755,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0923386255807545,0,0.0481300755780644,0.0588049646211341,0,0.016648680161402,0,0.0681101321539377,0,0,0,0.052484270014161,0,0,0,0,0,0
XMR,0,0,0,0,0,-0.000000000000000000867361737988404,0.0441108287662234,0,0.159717498480531,0,0.00217756708525692,0,0.154404519479311,0.0747089295145632,0.0416996570650262,0,0,0,0,0
BTG,0,0,0.536920404683028,0.0185313587378563,0,0.0149845380123644,0,0,0,0,0,0,0,0,0.0604672927641577,0,0,0,0,0
EOS,0.00597986037507012,0,0.113996816901744,0.0668538551532968,0.152003990191983,0,0,0,0,0,0.00413369858594684,0,0.294666407324434,0.13282953280011,0,0,0,0,0,0
XLM,0,0,0,0.00710987422252798,0,0.252890226782446,0.144662813257319,0,0,0.212244549514295,-0.0193234773444175,0.0488889478262197,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.000000000000000000867361737988404,0.0169710640523812,0,0.03059221004229,0,0,0,0.0675716931528911,0.126814328061209,0,0.0318057709409842,0,0,0,0,0
ETC,0,0,0.0651411412440522,0,0,0.107791435862769,0,0.096212601658191,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0420260759070772,-0.00786953281797674,0.0145182324966933,0.0108857996353361,-0.0284568428028031,0,-0.00351656594568921,0.00590066560424121,0.0176421419470473,0.00736668904807333,0.02180877928453,0.0398604310964255,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0000000298709239914232,0,0,0,-0.000000000926787418360966,0.0000000139474864976732,0,0,-0.000000000000000000000000103397576569128,0,0,0,0,-0.0123793089185833
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
