,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,ETC,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0159819891464094,0,0.0493731665345725,0.0703586048328568,0,0,0,0.025452503550339,0.0928810937985211,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.159580140507667,0,0,0,0,0,0,0.0115210076699279,0,0.263759302916635,0,0,0,0,0,0,0,0
XRP,0,0.12224452989671,0,0,0.0749351433657436,0,0,0,0,0.234273391358715,0,0,0,0,0.0619749490526847,0,0,0,0,0
BCH,0,0,0.110641608136835,0,0.113140026413259,0,0,0,0,0.0309925850923225,0,0.212799741218708,0,0,0.0138822981934809,0,0,0,0,0
EOS,0,0,0.139949022732808,0.024887746074207,0,0,0,0.109308134298484,0,0.232437801894472,0,0.0627982372712326,0,0,0.0590833883931509,0,0,0,0,0
XLM,0,0,0.153306505696627,0,0,0,0,0.12740130924183,0,0.0231492942565131,0.0716445409789814,0.0296939006649867,0,0,0.0555152343793502,0,0,0,0,0
LTC,0,0,0.0232158720695623,0.0428301658230829,0,0,0,0.148868667178413,0,0.156726390925089,0,0,0,0,0.0645503982131566,0,0,0,0,0
ADA,0,0,0.141769727484161,0,0.151986602821537,0,0,0,0,0,0.0143573204405937,0.176264555696795,0,0,0.161842733990821,0,0,0,0,0
XMR,0,0.202625639823879,0.107007924527777,0.0382271611773519,0,0,0,0,0,0.14383807829528,0,0,0,0,0.0595308318541353,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0.474975835755241,0,0,0.449607637804185,0,0,0,0,0
DASH,0,0,0.0154533371355033,0,0.0931051176537606,0,0,0,0,0.172140325798392,0,0,0,0,0.208341630974568,0,0,0,0,0
TRX,0,0,0.0528516126218824,0,0.12283397558379,0,0,0.235047498388869,0,0.172863863681307,0,0,0,0,0.144962396863423,0,0,0,0,0
BNB,0,0.0417686829992375,0.0181749572849049,0,0.0862592874145316,0,0,0.0219721658703555,0,0.0478967368406337,0.019100650397645,0,0,0,0.164257026945522,0,0,0,0,0
ETC,0,0.202479186340703,0.0176980137952904,0,0.0841000914740016,0,0,0,0,0.182592811623256,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0397005225593726,0,0.0635388579677261,0,0,0,0,0.285897186942679,0,0.206963483314099,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0458533014759787,0.0524605421803424,0,0,-0.0602957221631314,0,0,-0.00581918294663934,0,0,0,0,-0.013056146316587,0,0,0,0,0,-0.0379840233710214
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460488551637012
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
