,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0682734028304395,0,0,0,0.101820770636364,0.0126827080944543,0,0,0.0722217694460802,0,0,0.0676879282969435,0,0,0,0,0
ETH,0,0,0,0.174885879836168,0.0910160797795912,0,0,0.0425030421862612,0.0607549231106216,0,-0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.152062707433369,0.134027634060466,0,0,0,0.212593323375663,0.061609824750001,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.294399823781677,0,0,0.198989572484571,0.107013112466742,0.142357306907491,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.404709398381284,0,0,0,0.0507177047897188,0.164160372218475,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,-0.00000000000000000693889390390723,0,0,0.501200015348387,0.0843375940853998,0,0,0,0,0,0.0438262041362945,0,0,0,0,0
LTC,0,0,0,0.326801289135528,0.0496427343806443,0,0,0,0.120747513828464,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.133844001880642,0.106230174364615,0.131201843818079,0,0,0.0747953733673176,0.0501426908230701,0,0,0,0,0.152770805357712,0,0,0,0,0
MIOTA,0,0,0,0.0611595705598826,0.116444146690569,0,0,0,0,0,0.519762920807463,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.312871713115325,0.140490727254003,0.0930871593485552,0,0.0523954610585563,0.106411571025708,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.184953879600648,0.0991947330820818,0,0,0,0.336711803465209,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.430583926948606,0,0,0,0,0,0.0186671502283337,0.131724647545796,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.175636786044201,0,0.191538676087153,0,0,0.0000000000000000138777878078145,0,0,0,0,0.0577632456307461,0.0510674153869921,0,0,0,0,0
ETC,0,0,0,0.34619346774332,0,0,0,0,0.0715585228777609,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.107643396533469,0.127846498850962,0,0,0.321559324588003,0.0581577261238278,0,0.0248837866887104,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0514183869066895
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497082736897165
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
