,BTC,ETH,BCH,XRP,LTC,DASH,ETC,NEO,XMR,XEM,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.396531552201536,0,0,0.0587303422819129,0,0,0,0,0,0.012912320127436,0.0393573639145871,0,0,0,0,0
ETH,0,0,0,0,0.0745127699875459,0,0.10486044747835,0.097273934277124,0.0259212738700104,0.0792042454939458,0.0281932783157226,0.00620467256651713,0,0,0.0539730970795515,0,0,0,0,0
BCH,0,0,0,0,0,0,0.266489690633113,0.14759753523474,0,0,0.000000000000000000433680868994202,0,0,0.000000000000000000433680868994202,0,0,0,0,0,0
XRP,0,0.0861982153408263,0,0,0.0654138635436378,0,0,0.0702272385335663,0.0447631277750003,0.0182516118813768,0.0386272526036929,0,0,0.0412154306487653,0,0,0,0,0,0
LTC,0.0613321766011757,0.0673566139378498,0,0.0762537109531545,0,0,0.185309598944277,0.0780163261595709,0,0.148146361265901,0,0,0,0,-0.000000000000000000433680868994202,0,0,0,0,0
DASH,0,0,0,0,0.0298207632560154,0,0,0.0471689934894012,0,0.0652437570542405,0.153568744276271,0,0,0,0,0,0,0,0,0
ETC,0,0,0.12346893597347,0,0.209296317684295,0,0,0,0.00000000000000000173472347597681,0,0.0804701383029122,0,0.0327298921219704,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0490795994415844,0,0,0.119710260366304,0,0,0.155564927175308,0.164001908835752,0,0,0,0,0,0
XMR,0,0,0,0,0.039465469190338,0,0.170375583500947,0.0226409425911061,0,0.0703959789438933,0.0829889451333577,0,0.039890326195382,0.00923507925948035,0.0175831476226023,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.185418295208005,0.19467368578922,0,0.110362090738874,0,0,0.0163129658998096,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.246022143264678,0.16913476219594,0,0.0511162178133051,0,0,0,0.0357842070399197,0.0617262047853238,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.205386564663019,0.113531431955981,0.0000000000000000000542101086242752,0.268065983819488,0.0201981044692266,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.285858210218141,0,0.149899717104457,0.227626067722214,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.126920097355091,0,0.110668538467745,0,0,0,0.184573999392502,0,0.420119611749582,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0167395372228298,0,0,0,0,0,0,0,0.0218923116125209,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000758765264833301,-0.000405960235030605,0,0,0,0,0,0,0,0,0,0,0,-0.0243494280407603
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
