,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0183534842740823,0.0816307324981448,0.065458012767083,0.0349872417268882,0,0,0,0,0,0.161138913888157,0,0,0.00580569597108932,0,0,0,0,0
ETH,0,0,0,0,0.198686552310887,0.033570707795654,0,0.0444294568532194,0.0474272025083075,0,0.0225011966119074,0,0,0,0.039771125264393,0,0,0,0,0
XRP,0,0,0,0,0.0436941276721609,0,0,0,0.084221017736979,0,0,0.214420057833079,0,0,0.0378168944733123,0,0,0,0,0
BCH,0,0,0,0,0.145593529770692,0.363598514750933,0,0,0.0320096964421036,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.191238791339834,0.0821482340622006,0.207782304034747,0,0.0190083641847276,0,0,0,0,0.0046250007568699,0.113224301515223,0,0,0.00644662896470274,0,0,0,0,0
LTC,0,0,0.0838864914023075,0.466208253225783,0.110856182649561,0,0,0,0.0083931898438708,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0791078854017608,0,0,0,0,0,0,0.159621232822877,0.206320072722362,0,0,-0.0422007067582245,0,0,0,0,-0.0764024522123845
XLM,0,0.209187428198287,0.107961826441538,0.0121268142996731,0,0,0,0,0.127180784503446,0.0319036463393466,0,0.0265709059234908,0.151418163466455,0,0.0042336000710423,0,0,0,0,0
ADA,0,0,0.240475324429169,0.351680412898371,0,0,0,0,0,0,0.00173811339964827,0.0883483179867394,0,0,0.043579863872632,0,0,0,0,0
TRX,0,0,0.128081936278477,0.0116400249151006,0,0.0894304663285667,0,0.113079254523905,0.137606473485552,0,0.032830109509481,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.072518029379479,0,0.23118412492155,0,0,0.0465483754757266,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.167402972306205,0,0,0,0.0813572470206942,0,0.0152973471932799,0,0,0.0351848127068532,0,0.362042130155934,0.0316232411260214,0.000966591015196009,0,0,0,0,0
DASH,0,0,0,0.0728406793364374,0,0,0,0.0871835215220593,0.0261861659255393,0.0648625716658293,0,0.23958396582512,0,0,0.055439688102942,0,0,0,0,0
MIOTA,0,0,0.0977052362929536,0,0,0,0,0.0306703978596653,0.0734254338418351,0,0.0556135946362077,0.288303499893188,0,0,0.0944969764468851,0,0,0,0,0
XTZ,0,0,0.230628819520326,0,0.306921838042426,0,0,0.107990030088727,0,0,0,0.300437363734807,0,0,0,0,-0.312232087100103,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0236767724487319,0,0,-0.00130648788466607,-0.00657047389390695,0,0,0,0,-0.068689462411901
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061814048101943
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
