,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.134741890843794,0,0,0.0498450436477971,0,0.0713604862053155,0.0396488976513417,0,0,0,0,0,0,0,0,0
ETH,0.159658354462951,0,0.125984230982425,0,0,0.034056640946703,0.139995702622944,0,0.124416264299911,0,0,0,0,0,0,0,0,0
DASH,0.520445944547439,0.222219428612158,0,0,0,0.0981692824133786,0,0.0398623180742492,0.179079087391543,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0668883493657516,0,0,0,0,0,0,0,0,0,0.0215348903768456,0,0,0,0,0
LTC,0.121444457437609,0,0.00231218472053102,0,0,0.0105426073186953,0.0753200839595366,0,0,0,0.0636332102991949,0,0,0,0,0,0,0
XMR,0.485803567589938,0,0.139102556942248,0,0.154006002519762,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.180893886546629,0.121345803242123,0,0,0.0430894126704945,0,0,0,0,0.0848658247351374,0.0933779934292308,0,0,0,0,0,0
XEM,0,0,0.324824643492417,0,0,0,0,0,0,0,0.0861536626345221,0,0,0,-0.381359347675539,0,0,0
ZEC,0,0,0.359853662891458,0,0,0,0.188687338501042,0,0,0,0,0,0.00220064334425998,0,0,0,0,0
DOGE,0.155622203991764,0,0,0,0,0.0313982417692449,0,0,0.0491632687622628,0,0,0,0,0,0,0,0,0
XLM,0,0.0496170267518507,0,0.0552728339454013,0.103388315646051,0.100744833639184,0.125047281290988,0,0,0,0,0,0,0,0,0,0,-0.0488595140811472
NEO,0,0,0,0,0,0,0.14166676753963,0.0772461594028801,0,0,0,0,0.0721587403176321,0,0,0,0,0.156528757522637
DGB,0,0,0,0,0,0,0,0,0.0934754579611369,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0727620393732887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329261316881354
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
