,BTC,ETH,XRP,BSV,BCH,LTC,EOS,BNB,TRX,XMR,ADA,XLM,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.118382597166489,0.0515811978115007,0.157083455068682,0.0588243436733809,0.0355181936508023,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0764577695135322,0.00754909582271696,0.0704151636034721,0.247606562601249,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0528968072281481,0,0,0.199887223875196,0,0.0968627620702075,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.625376298852906,0,0.129304639476876,0,0,0,0,0,0,0,0.0533918685041055,0,0,0,0,0
BCH,0,0,0,0.249907366834782,0,0,0.193795154199814,0,0.0713125887590209,0,0,0,0,0,0.0265600013962089,0,0,0,0,0
LTC,0,0,0,0,0.175001196231995,0,0.560594584246069,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.129036669910077,0.125404781587449,0.29592573649901,0,0,0.0479570703725259,0.0468229969235145,0,0,0,0,0.0351211085930997,0,0,0,0,0
BNB,0,0,0,0,0.0983955183306524,0,0.32333015099132,0,0.0788888303091831,0,0.0412036566524292,0,0,0,0.0158738911269762,0,0,0,0,0
TRX,0,0,0,0.0275416410589323,0.00708859503178044,0,0.412744629853912,0.144357459673076,0,0.0265744555217725,0,0,0,0,0.0346458180387304,0,0,0,0,0
XMR,0,0.0116222012017151,0,0,0.0701768137628598,0,0.270957438072194,0.0357636279180831,0,0,0,0,0,0,0.00824636808317309,0,0,0,0,0
ADA,0,0,0,0.0509385224076438,0,0,0.216703736653825,0,0.193704388936987,0,0,0,0,0,0.0672506790837003,0,0,0,0,0
XLM,0,0,0,0,0.0368048257599779,0,0.268695080847351,0.0282319604284717,0.126641437845477,0,0,0,0,0,0.0175867504772697,0,0,0,0,0
XTZ,0,0,0.247240399411672,-0.00000000000000000010842021724855,0.0187776428877618,0,0,0,0,0,0,0,0,0,0.119526881553854,0,0,0,0,-0.0242183622322983
LEO,0,0.037360184909251,0,0.0433843408486544,0,0,0,0,0.131349656820674,0,0,0,0,0,-0.0611684383709933,0,0,0,0,0
ATOM,0,0,0,-0.0403351220467413,0,0,0.183259725654254,0,0,0,0.421912136626508,0,0.347450893044498,0,0,0,0,0,0,-0.0365385559271324
BV010082.INDEX,0,0,0,0.00984300876988459,0,0,0,0,0,0,0,0,0,0,-0.00426875891241698,0,0,0,0,-0.0702669102643059
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376396583738208
SPX.INDEX,0,0,0,0.00638555074372366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519681592971987
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
