,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0831292690571751,0.200177313318547,0,0.565386526220618,0.0453258160195221,0,0,0,0,0,0,0,0,0
XRP,0,-0.0261092612283489,0,0,0,0,0,0,0.405808782468472,0,0,0,-0.163570086951073,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.150065235641044,0,0,0,0,0,0,0,0,0
DASH,0,0,-0.0753077850818434,0.0172106752929007,0,-0.0877124841028077,0,0,0,0.273879591672155,0,0.102150332227093,0.0216818951750021,0,0,0,0,0.0239284950761524
ETC,0,0.417069086590171,-0.0247094428030819,0.084932024062834,0,0,0,0,-0.0222928987473696,0.131256496673415,0,0,0,0,-0.0643092159194841,0,0,0
XEM,0,0,-0.0556274585337629,0,0.0349448181628637,0,0,0,0,0,-0.143835397103096,0,0.258178119826174,0,0,0,0,0
XMR,0,0.330908421162302,0,0,0,0,0.0364022601445367,0,0,0,0,0,0.0233987966468017,0,0,0,0,0
XLM,0,0,0.399146476820631,0.0740498016931255,0,0,0,0,0,0,0.097364251594158,0,0.0808259746231333,0,0,0,0,0
ZEC,0,0,0,0,0.0423320358487461,0.171840779069555,0.0645663603299871,0.130927680442694,0,0,0.0634085236026892,0.128882250840326,0,0,0,0,0,-0.0364202645760112
DOGE,0,0.0537991715809626,0.147320477973212,0.0627542485976964,0,0,0,0,0.168673663911618,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,-0.20273468939333,-0.136877492610274,0.0819603244952623,0,0.158100642096123,0,0.552314988025156,-0.218319584586837,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.0138453517079625,0,0.00491318304078875,0,0,0,0,0,0,0,0,-0.0599582911793247
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.00000015857104844903,0.000000203188406248512,0.000000655090891462543,0,0,-0.00000029256496682565,0.000000192405824692156,0,0,0,0,-0.0255020922311842
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
