,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,DASH,EOS,TRX,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0116443215855311,0,0,0,0.0451683734696358,0,0,0.0292261242368622,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.148213613460766,0,0.0454083828923143,0,0,0,0,0.0179934174765478,0,0.0494429864775873,0,0,0,0,0
XRP,0,0,0,0,0.112339786609311,0,0.10928525895964,0,0.0101290369055721,0,0,0,0.0433137392431927,0,0,0,0,0,0,0
BCH,0,0,0.031710978059592,0,0,0.0861645381946856,0.0306875268705906,0.139435119590252,0,0,0.218930853289014,0.0985228765436499,0,0,0.118474134934374,0,0,0,0,0
ADA,0,0,0.153125956735931,0,0,0,0.0697082564037649,0,0.427620401562896,0,0,0,0,0,0,0,0,0,0,0
LTC,0.131961501204645,0.0741824910295406,0,0,0,0,0.238765084793493,0,0,0.0653671567824229,0.139141048098543,0,0,0,0,0,0,0,0,0
XEM,0,0,0.137741444536639,0,0.0243874316363945,0.0226805563735293,0,0,0.251097262327503,0.048445997086794,0,0,0,0,0.0762547288509939,0,0,0,0,0
NEO,0,0.0298280991403093,0,0.0839130308616614,0,0,0.0182298784643007,0,0.136294641046414,0,0,0,0,0.158157797726966,0,0,0,0,0,0
XLM,0,0,0.095806833356212,0,0.294842808154848,0,0,0,0,0.208729035217199,0,0.0463554714849186,0,0.0373854969930613,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0686059931518032,0.166499010641907,0,0.273767695044865,0,0,0.0974632203592845,0.078284684291833,0,0,0,0,0,0,0
DASH,0,0,0,0.0753572994126548,0.0326982529944034,0.112800018704235,0.00786826765800696,0.0388796240132651,0,0,0,0,0.0888699716548236,0.0682698076428719,0.0920018933793443,0,0,0,0,0
EOS,0,0,0.0405943079551761,0.186760251686751,0,0,0.0178131569668299,0.0716339334277425,0.13367007356224,0.146661937312348,0,0,0.0731136663540683,0,0.0597587622876055,0,0,0,0,0
TRX,0.362950831657186,0,0,0.103764256257868,0.113012359135483,0.108815841020081,-0.000000000000000000216840434497101,0,0,0,0.195378416534373,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.0700234277044458,0.13760019613363,0.0542512460785011,0.231013486395529,0.0243683151965446,0,0,0.0295335984692709,0,0,0,0,0
BTG,0,0,0,0.477840479263957,0.00641721888030431,0,0.00250894364255236,0,0,0,0.0161156484673797,-0.000000000000000000867361737988404,0,0.078232699698861,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00417242157014391,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00265378531130289,0,0,0,0,0,0,0,0,0,0.00250450544171024,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000000154711873704841,0,0.00000000839508206045229,0,0,0,0,0,0,0,-0.0159731977071151
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
