,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,XEM,ETC,EOS,ZEC,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0855510320757139,0,-0.113983120217646,0.213287113243291,0,0,0,0,0,0.11289441215232,0,0,0.0487202357863463,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0142719851526978,0.0223667820677803,0.0930094203684336,0,0.063223668664412,0.0638709487476846,0,0,0.0666028950411932,0,0,0,0,0
BCH,0,0,0,0,0.200764263683577,0,0,0.150812280616787,0,0,0.181637677268191,0,0,0,0,0,0,0,0,0
XRP,0,0.0417350759660523,0,0,0,0.128070931711221,0,0.0251191622492444,0.043156476078791,0,0,0,0,0.0916417617289732,0,0,0,0,0,0
DASH,0,0,0.0251291242761849,0,0,0,0.221975258650721,0.0200709860812567,0.0916249184456846,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.130469074439648,0,0,0,0,0.0493840614030909,0,0.121540543518599,0.0156744184364539,0,0,0.0629543912205932,0,0,0,0,0
XMR,0,0,0.0310591453354576,0,0.112730144215637,0,0,0.0951401144818935,0.0241294473157253,0,0.0206258855288073,0,0.100674913956232,0.0157928517246902,0.095584995758732,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0424521980149691,0.0414429155836417,0,0.183256358717985,0.0467240460832305,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0.1525102662656,0,0.209710155628169,0.0564464142677509,0.17578621882766,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.0885350100043613,0,0,0,0,0.0496944273287618,0.144830211917817,0,0,0,0,0
ETC,0,0,0.103774401273906,0,0,0.0707506893414712,0.0141862481519338,0,0.0622395653371323,0,0,0.0456470549149261,0,0,0.00325120637027075,0,0,0,0,0
EOS,0,0,0.0886559103346904,0.215978644297052,0,0.0638252595781594,0,0.00892882405742206,0.123743824749061,0,0.211411822333247,0,0.156601132833062,0,0,0,0,0,0,0
ZEC,0,0.110000656173618,-0.00425460156112815,0,0.325463013664605,0,0,0,0.20826639749909,0,0,0.00000000000000000010842021724855,0,0.00663443196873836,0,0,0,0,0,0
XLM,0,0,-0.0450099025816673,0,0,0,0,0.285568801123621,0.108278624022884,0.71992269753034,0,0.0213750508098875,0,0,-0.0883341163795797,0,0,0,0,0
ADA,0,0,-0.164218931438089,0,0,0.000000000000000000867361737988404,0.12224899223396,0,0.0218106369435304,0,0.139504346407892,0,0,-0.0458628137796962,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0352858336052173,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0000000345756239373887,0,0,0,0,0,0,0,-0.030501324532229
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
