,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.528775786027021,0.0168890296609228,0,0.177076183791238,0.051865435345148,0,0,0,0,0,0,0
XRP,0,0,0.0654150813939123,0,0,0.259953202247971,-0.0210700449407253,0.0502986575657742,0.0119373122637939,0,0,0,0,0
LTC,0.378420418114604,0,0,0.00719047059042762,0,0,0,0.0125239422910852,0,0,0,0,0,0.0147836996160704
DASH,0.129056127757306,0,0,0,0,0.237573529317218,0,0,0.0102641759918563,0,0,0,0,0
XLM,0,0.150053617320636,0,0.0352439723322619,0,0,0.107768050541629,-0.067743143869669,0,0,0,0,0,0
DOGE,0.437624955740743,0,0,0,0,0,0.0118540375940071,0.00244146182547717,0.0432167106874526,0,0,0,0,0
XMR,0.558195758683306,0,0,0,0.266429757585133,0,0,-0.198189985779838,0.0224793363250354,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.758837739159173,-0.0726529515474105,0,0.665484459977001,0.0109184900451948,0,0,0,0.561501304110923,0,0,-0.18353142791085
BV010082.INDEX,0,0,0,0,0.0131840904214014,0,-0.0337178423216475,-0.042823414418815,0,0,0,0,0,0.0626098393261906
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.000000163763784539016,0.0000000918820240946832,0,0.000000215584893540828,0,-0.000000207996932693937,0,0.0397616707322672,0,0,0.0148939909190548
SPX.INDEX,0,0,0,-0.00000000485141913139044,0,0,0,0,0,0,0,0,0,-0.0819799554064477
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
