,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.121660775166196,0,0,0,0.109215197630052,0.00475351757980821,0,0,0.142959722575979,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.000727636045133449,0,0,0.138846928001708,0.193934228661517,0,0,0.0175065455639362,0.206772932467473,0.0186334187171232,0,0,0,0,0,0,0,0,0
XRP,0,0,0.02799221130636,0,0.0528883300743934,0.162764959580504,0,0,0,0.0786326390236723,0,0,0,0.112996214803967,0,0,0,0,0,0
BCH,0,0,0.0665658179644072,0,0,0.427974441885922,0,0.0208922953359668,0,0.111982511573932,0,0,0,0.124166835274144,0,0,0,0,0,0
BSV,0,-0.000818443855871933,0.0401970871147053,0,0.633473128414704,0,0,0,0,0.029285045156568,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00220880173194108,0,0,0,0.0401872695345102,0,0,0,0.229670229853495,0,0,0.00884516797306043,0.0857404372913386,0,0,0,0,0,0
EOS,0,-0.000247071660926928,0,0,0.19866319301452,0.1207672125086,0,0,0,0.131580532205724,0.0103725637927014,0,0,0.063515070017587,0,0,0,0,0,0
BNB,0,-0.0000000000000000000542101086242752,0.27620325959394,0,0,0.0337294041525258,0,0,0,0.167975403305883,0,0,0,0.0752639400291443,0,0,0,0,0,0
XTZ,0,0.00139742247878493,0.331974114120355,0,0,0,0,0,0,0,0.0247588805377635,0,0.473637673959799,0,0,0,0,0,0,0
TAGZ5,0,0.00166025893140129,0.186071412287009,0,0.106289299495448,0,0,0,0,0.108584353938458,0,0,0,0,0,0,0,0,0,0
XLM,0,0.000917098625605287,0,0,0,0.18515638880456,0,0,0,0.170761356838286,0,0,0,0.289929213786492,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.568221462291183,0,0,0,0,0,0,0,0,0,0
ADA,0,-0.0020112566567044,0,0,0.247868401036269,0.0087898276680284,0,0,0.0358107386092318,0.299181941425431,0,0,0,0,0,0,0,0,0,0
XMR,0,-0.00391945406744621,0,0,0,0.191875807782153,0,0,0.179437185624929,0.0720714590987248,0.0273373518705132,0,0,0.126293309000152,0,0,0,0,0,0
BV010082.INDEX,0,-0.0000000000000000000542101086242752,0,0,0,0,0,0,0,0,0,0,-0.0205046483416676,0,0,0,-0.0966077674792507,0,0,-0.0137939913567646
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00000000691562028495086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133830691922554
SPX.INDEX,0,0.0000000908390174901656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012397716370969,-0.0386407965820767,0,0,-0.257700898416638
VIX.INDEX,0,0.00000155372644588153,0,0,0,-0.00000669429331895763,0,0,0,0,0,0,0,0,0,-0.0715654256371324,0,0,-1.43575955395318,0
