,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.106725931279574,0.00451449209675978,0,0,0,0.0639432205886206,0,0.117008283270745,0,0,0.0195433129547584,0,0,0,0,0
ETH,0,0,0.0610842702725409,0.253861102472651,0,0,0.12179282823218,0,0.241965814294754,0,0,0,0,0,0,0,0,0
DASH,0.326471617633932,0,0,0.18666297451755,0,0,0,0,0,0,0,0.143278147553601,0.1053995421855,0,0,0,0,0
XMR,0.178042686001846,0.397391089312932,0.0849335549695792,0,0,0,0,0,0,0,0.0546415637871697,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0218471490670085,0,0,0.0986284821406464,0,-0.0316529917611172,0,0,0,0,0,-0.067775330724261
LTC,0.0423557223157353,0,0,0.0574554076169218,0,0,0.0892774117605623,0.0189203176955303,0,0,0,0,0,0,0,0,0,0.00632927089735251
ETC,0,0.35408194704309,0.0152097533934092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.185036069306471,0,0.105466093039686,0,0,0,0,0,0.104725628102814,0,0,0,-0.387626344817708,0,0,0
ZEC,0,0.0541175724123918,0.299724518725779,0,0,0,0.272653506477886,0,0,0,0,0,0,0,-0.0791525667424408,0,0,0
DOGE,0.324656421227689,0,0.0000000000000000000542101086242752,0,0.0960425761570128,0,0,-0.028935600334509,0.093241637674409,0,0,0,0.065786202572299,0,0,0,0,0
XLM,0,0.0143579037925486,0,0.0259833447705354,0,0,0.111189849229045,0.0319872040558155,0,0,0,0,0.142222797826686,0,0,0,0,-0.0639781192591892
NEO,0,0,0.202476092747211,0,0,0,0,0.151095228846642,0,-0.0576902402525652,0,0,0,0,0,0,0,0
DGB,0,0,0.175738683925279,-0.195928841361751,0,0,0,0,0.0738080599895875,0.170313195433064,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0931931951314989,0,0.216592470956312,0,-0.0646121789006565,0,0,0,0,0,-0.0285289232984056,0,0,0,0,0.0510754597670242
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.00000000294940060497774,0,0,0,-0.00000000462379938473409,0,0,0,-0.0000000446740469126046,0,0.0722628507985983,0.0291710909915855,0,0,-0.011218570887094
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032926342282533
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
