,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0364372280515193,0.0928732418100881,0.268805252129463,0,0.231369621240995,0.0598010840980444,0,0,0,0,0,0
XRP,0.210592262796984,0,0.00887800585377587,0,0.303477681625562,0,0,0.0105593399037663,0,0,0,0,0.0488106169367084
LTC,0.461030668311587,0,0,0,0,0,0.0120809834470999,0.0196512112248991,0,0,0,0,0
DOGE,0.457118233141626,0,0.102992910492655,0,0,0.121551992910174,0,0.0151684667988316,0,0,0,0,0
XLM,0,0.731281611540168,0,0.138795245220343,0,0,0,0,0,0,0,0,-0.047504237640726
DASH,0.63791448412225,0,0.0909500517500337,0,0,0,0,-0.00000000000000000010842021724855,0,0,0,0,0
XMR,0.591398757273424,0,0.154312642421777,0.0229011251002334,0,0,0,0,0,0,0,0,0
DGB,0.636384313701319,0,0,0,0,0,0.0305519562115017,0,0,0.247133593524389,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.035001287337098
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742254753506366
VIX.INDEX,0,0.0000000000000000000000000516987882845642,0,0,0,0,-0.0000000148664460509092,0.00000000104158637546008,0,0,0,-4.46588573133366,0
