,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0987868081094047,0,0,0.223180906022802,0.0686275724028117,0,0,0.0203367006325803,0,0,0,0.00425979117004631,0,0,0,0,0
ETH,0,0,0,0.133038783207966,0.00573519581565504,0,0.201036117979166,0.0393366750606691,0,0.113759303376534,0,0,0,0,0.0242675638670013,0,0,0,0,0
XRP,0,0,0,0,0.0502727003712141,0,0.166157767479736,0,0,0.039434121462183,0.0917925870553887,0,0,0,0.0197287518097407,0,0,0,0,0
BCH,0,0,0,0,0.274405241726812,0.0448586154174797,0.0439276375755363,0,0,0,0.0159007354591657,0,0,0,0.0457576098718451,0,0,0,0,0
BSV,0,0,0,0.497700501513975,0,0,0.134951059665551,0,0,0,0,0,0,0,0.0855361817942391,0,0,0,0,0
LTC,0,0,0,0.196791907855593,0.00656822851194744,0,0.474934045630968,0,0,0,0,0,0,0,0.0253257216347342,0,0,0,0,0
EOS,0,0,0,0.13137566420615,0.0907951718016892,0.164674156427356,0,0,0,0,0.111620607272409,0,0,0,0.0228755390173144,0,0,0,0,0
BNB,0,0,0,0.00859465800731593,0,0,0.267755075214104,0,0,0,0,0,0,0,0.136463325248682,0,0,0,0,0
XLM,0,0.0627878777804133,0,0,0,0,0.128272215609837,0.0493742426941314,0,0.109696200485241,0,0,0,0,0.125626434174644,0,0,0,0,0
ADA,0,0,0,0,0.0521085693925652,0,0.0866029898428064,0.147379064993385,0,0,0.220325028304942,0,0,0,0.0515573957603713,0,0,0,0,0
TRX,0,0,0,0.0922148154278427,0,0,0.249036533981212,0.160855309515094,0,0.0558650146752055,0,0,0,0.0214569995855961,0.0181525654071063,0,0,0,0,0
XMR,0,0,0,0.171206201998172,-0.0298153017755419,0,0,0.329097360357055,0,0,0,0,0,0.0052768048106064,0.119024870616852,0,0,0,0,-0.0584473077094396
XTZ,0,0,0.274651613232894,0,0.00250815792676826,0,0,0,0,0,0,0,0,0,0.0192796170569906,0,0,0,0,0
ETC,0,0,0,0,0.130600545301506,0,-0.00000000000000000346944695195361,0,0,0,0.17558754926239,0,0,0,0.291589099006969,0,0,0,0,0
DASH,0,0,0,0,0.222526288924002,0.196237781549328,0,0.190620211417364,0,0,0,0.074049290572489,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0109868539616409,0,0,0,0,0,0,0,0,-0.0195557371088048,-0.00212147909413029,0,0,0,0,-0.0674126052238636
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000365055645041932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404295888032654
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
