,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.37805667209632,0,0,0,0,0.0708583049404933,0.00523061234502181,0,0,0,0,0
XRP,0,0,0,0,0.0737454174064326,0,0.131099220093857,0.00988294434177628,0,0.0274045323000145,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.499008954459238,0,0,0,0.0142386866108006,0,0,0.00362200525308478,0,0,0,0,0,0,-0.00514353954044523
DOGE,0,0,0,0.722747714595927,0,0,0.102926541997069,0.00581269772011401,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.18806429805752,0,0,0.0230032477196746,0,0.0585505507215988,0,0,0,0,0
XEM,0,0.112289193741448,0,0.616885565568303,0.0407204230808724,0.211131436700786,0.21781894313927,0,0,0,0,0,0,0,0
XMR,0.67207758767428,0,0,0,0.03186300284056,-0.0616143184514446,0,-0.0257514899073031,0,0.0230167188104352,0,0,0,0,0
DGB,0.537814096083936,0,0,0,0,0,0.122152772445667,0.0261272688256019,-0.0883302060487418,0,0,0,0,0,0.196835235821216
BV010082.INDEX,0,0,0,0,0,0,0,0.00690154794015329,0,0,0,0,0,0,-0.0382535660423466
CVIX.INDEX,0,0,0,0,0,0,0,-0.0000000721968912195778,0,0,0,0,0,0,0.0469890378971367
DXY.INDEX,0,0,0,0,-0.00000142722482920518,0,0,-0.000000453793592381566,0.00000063455012736622,0,0,0,0,0,-0.0145147798544461
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903064257464227
VIX.INDEX,0,0,-0.000028269393176402,0,0.0000574147394102632,0,0,-0.00000825949252477148,0,0.0000000000000000000000264697796016969,0,0,0,-3.03921073268794,0
