,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,ETC,DASH,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.233198772673979,0,0,0,0,-0.000000000000000000867361737988404,0.01115279964381,0.084491314403724,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.241295088264601,0.112992132802567,0,0,0,0.0134443671705669,0.199226917315036,0,0.016336319530578,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.145841994391805,0.0330742071053047,0,0,0.157350192387585,0.0595770435960846,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.145436174484052,0,0,0.131778184004897,0.0328929293229317,0.194770356123015,0.0368371277669,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0511331371648359,0,0,0,0.026220805242907,0.18553557225409,0.232229363885206,0.188194479995455,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.488000620641228,0.00294663283631527,0,0.0659893655206601,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.355405946063656,0.0660972959540547,0,0,0,0.0989310057052982,0,0,0,0.030871226013745,0,0,0,0,0,0,0
ADA,0,0,0,0.0988104192518065,0.192837848674963,0.16992914707749,0,0,0,0.158914231239387,0,0.0532098075400506,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.331602594889443,0,0,0,0,0,0,0.395148723146052,0.0997896356941358,0,0,0,0,0,0,0
TRX,0,0,0,0.31592644875758,0.157795902843136,0.0969727092007049,0,0.0550409963830369,0.0901715607003994,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.600373630823698,0,0,0,0.0555272509045736,0,0,0,0.150797704240188,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0421529589375854,0,0,0.232489819839739,0.217341827510916,0.0945574273543829,0.207957521407889,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.31053947465238,0,0,0,0,0.0717723807257798,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.146970791496159,0,0.0680308337644359,0,0,0.0290322349681174,0,0,0.170109312776731,0.0597491697128261,0,0,0,0,0,0,0
BNB,0,0,0,0,0.130655048384732,0,0,0,0.085520083022258,0,0,0,0.125696552108469,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.015210930450754,0,0,0,0.00304864047484284,0,0,0,0,-0.0903073889045102,0,0,-0.0258030251848371
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00000190189321225743,0,0,0,0,0,0,0,-0.0106414097405986
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497080391698658
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
