,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0897886215822086,0,-0.0673956598933337,0.168485525260313,0,0,0,0,0,0.0868136332408123,0,0.0602674834256266,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.0284369280959049,0.0890264157775841,0.0744620996289629,0,0.0546525479654824,0,0.063873745922833,0,0,0,0,0,0
BCH,0,0,0,0,0.195568823235686,0,0,0.153544615473137,0,0.171232361207367,0,0,0,0,0,0,0,0,0,0
XRP,0,0.00862376706386431,0,0,0,0.152779214226305,0,0.0402352087228308,0.0547817927279852,0,0,0,0,0.0257313946413404,0.0723841277628852,0,0,0,0,0
DASH,0,0,0.025129124276185,0,0,0,0.221975258650721,0.0200709860812566,0.0916249184456847,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0807118028868764,0,0.0985535354989911,0,0,0,0,0.0366866259864753,0.132259089569249,0,0,0,0.0626892471194864,0,0,0,0,0,0
XMR,0,0,0.0277175414151672,0,0.105855554233665,0,0,0.0999068173192948,0,0,0,0.0410542324630229,0.0925187754409428,0.0847988626584318,0.0222583013787208,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0.0447593017474094,0,0.0487999979284929,0,0.0574982158549769,0.175618515885253,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.146685701066272,0,0,0.206078327352743,0.176309201257493,0.0642236170281332,0,0,0,0,0.0143125458945415
ETC,0,0.177313821347889,0.115404951485615,0,0,0.0592909091239763,0,0,0.0230632580070231,0,0,0.017995227339961,0,0,0.00329456807218022,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.0384352655336414,0,0,0,0,0.0980015864598701,0.0466589709618735,0,0,0,0,0
EOS,0,0,0.123317394752269,0.000000000000000000216840434497101,0,0.0359497775765324,0,0.0841671713109855,0.191288913621516,0.172063206964411,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.0485467218021389,0,0,0.319983983513504,0,0,0,0.214664154347428,0,0,0.00000000000000000010842021724855,0,0,0.00410901696398251,0,0,0,0,0
ADA,0,0.0428274507176605,-0.16581625399725,0,0,0,0.105300693590967,0,0.0255595896042107,0.139714978054519,0,0,0,0,-0.0558534268244653,0,0,0,0,0
XLM,0,0,-0.0253431887526849,0,0,0,0,0.300240130330121,0.115355043037263,0,0.689481712834195,0,0,-0.080011774805205,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0123115676907521,0,0,0,0,0.0161878272475715,0,-0.0135991076904198,0.0306633972944694,0,0,0.00939692316776212,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00000100086621618526,0,0,0,0,0,0,0,-0.0285505316654039
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
