,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0796992832712023,0.0144332489197497,0,0,0,0.00155245187058619,0,0,0,0.20733776666021,0.103074157563577,0,0,0,0,0,0
XRP,0,0,0,0.0731323607725413,0.0689271785924209,0.0360359986679346,0,0,0,0.195647938198551,0.0391112165097559,0.012347045824906,0.000000000000000000867361737988404,0,0,0,0,0,0,0
ETH,0,0,0,0.145108855263269,0.132939345954773,0,0,0,0,0.0340964201507727,0.0438528455499993,0,0.266769406540435,0.0270869415874666,0,0,0,0,0,0
BCH,0,0,0,0,0.155510120644496,0,0.112759548218276,0,0.0357599583934474,0.186100470441356,0,0,0.07162103942581,0,0,0,0,0,0,0
EOS,0,0,0.201943066425715,0,0,0.0573265338913958,0.0957762103005501,0,0,0.279377114503518,0,0,0,0.0806901210439279,0,0,0,0,0,0
XLM,0,0,0,0.120393611925466,0.193751414629773,0,0.109017631817226,0,0,0.0321693554839894,0,0,0.171300292650159,0,0,0,0,0,0,0
LTC,0,0,0.333415148107269,0.0236488996347475,0.00387441052237582,0,0,0,0,0.167712864917719,0.0434960857960227,0,0.0524045347006446,0.0416000855957111,0,0,0,0,0,0
TRX,0,0,0,0.101466632218264,0,0,0,0,0,0.475879140920761,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.63623693940703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.374722814283003,0.0843853614571107,0.0937693591732226,0,0,0.0946304555238596,0,0,0,0,0.145225515358078,0,0,0,0,0,0,0
MIOTA,0,0,0.07217523738379,0.130048698219156,0.0995539609801411,0,0,0,0.019457208339631,0,0,0,0.0138762601384659,0.291974443930383,0,0,0,0,0,0
BNB,0,0,-0.00000000000000000346944695195361,0,0.0789881972333305,0,0,0,0.00985141502580655,0.525259127054176,0.00504546362087812,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.129733634074525,0.0872877782360481,0,0,0,0,0.0167313834709699,0,0,0,0.352130730668518,0,0,0,0,0,0
DASH,0,0,0,0.0822935224676784,0.191225584597159,0,0,0,0,0.0529516096781228,0,0,0.21133995678378,0,0,0,0,0,0,0
XEM,0,0,0,0.15267814031995,0,0,0,0,0.000203666350728177,0,0,0,0.0624670244215225,0.097640074675586,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133758
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000214131135805221,0,0.000000298338418669386,0,0,0,0,0,0,0,0,-0.127378052637977
VIX.INDEX,0,0,0,0,0,0,0,0.0000150470897358908,0,0,0.00000966116103140514,0,-0.00000722989389447171,-0.00000739680651223794,0,0,0,0,-3.5264219019283,0
