,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0244708889250815,0.121856839991479,0.0350270244291219,0,0,0,0,0,0.018190723356227,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.681319231120192,-0.0164951972525592,0.0917910273841033,0,0,0,0,0,0.32668755769292,0,0,0,-0.17121081397732,0,0,0,0,-0.0194180945905184
ETH,0,0.158486576469428,0,0.0884430040552874,0,0,0,0,0,0.082397387145833,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0891538727250176,0.0928061294830369,0,0,0,0,0.05757957706955,0,0.133118384994934,0.168249532013034,0,0,0,0,0,0,0,0,0
XLM,0,0.13364467417272,0,0,0,0,0,0.592795541389865,0,0,0,0,0,0,0,0,0,0,0,-0.0268665934316858
EOS,0,0.12572280881025,0,0.120694270070311,0,0,0,0.186787577528548,0,0.0250674810729992,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0322507361544319,0,0.2002258492056,0,0,0,0.236062841711147,0,0,0.0566202779672161,0,0,0,0,0,0,0,0,0
ADA,0,0.167562547285397,0,0.0844841547125224,0.309522142351847,0,0,0,0,0.0496630938417696,0,0,0,0,0,0,0,0,0,0
XMR,0,0.126341226057549,0,0.069399172448684,0,0,0,0.0609438826557756,0,0,0.177684830609212,0,0,0,0,0,0,0,0,0
TRX,0,0.0579579002148786,0.231190835388062,0.0217772281497063,0,0,0,0.292491184865924,0,0,0.0827175248348583,0,0,0.0655863912020767,0,0,0,0,0,-0.00528181525753904
MIOTA,0,0.105748275085555,0,0.0300119465618462,0,0,0,0,0.13956189864638,0.157519913764849,0,0,0,0.0429342812791563,0.16942198801844,0,0,0,0,0
DASH,0,0.0114434344440831,0.221009854061569,0.057479632175015,0,0,0,0.0657652298868716,0,0.0307226382879947,0,0,0,0.0586707170095133,0,0,0,0,0,0
BNB,0,0.0297518520578208,0.0586481233644088,0.0334660785177309,0,0,0,0.022721131642154,0,0.12902149717805,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0262261596500005,0.159500156552885,0.108494635899059,0,0,0,0,0,0.159124118109377,0.180977629073294,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0233596258218335,0,0,0,0.412899745602697,0,0,0.0626199427985825,0,0,0,0,0,0,0,0,-0.010278801355188
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0.000000757858489415321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445903493785506
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887754848929549
VIX.INDEX,0,0,0,0.000000279192304859179,0,0,0,0,0,0,0,0,0,0.000000171145347596034,-0.00000135408188222028,0,0,0,-3.61559143689003,0
