,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,NEO,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.181158121934698,0,0,0,0,0,0,0.0996398065836373,0,0,0,0.0790963022234737,0,0,0,0,0
ETH,0,0,0,0.237026250331581,0.128413455610939,0,0,0,0.0655800243318343,0.0886952903981515,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.143062104666147,0,0,0,0.175756017209726,0.0214984823520373,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.118044893513951,0,0,0.122491711934426,0.024978554058793,0.204011115811171,0.0721084586666631,0,0.00000000000000000010842021724855,0,0.0363208541032677,0,0,0,0,0
EOS,0,0.0495595054924243,0,0.239936434282907,0,0.00759647335006719,0,0,0.145867248471864,0.153014450467742,0.0986279792199588,0,0,0,0.0678521974281695,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.386343546215209,0,0,0.0663680364994217,0,0,0,0.139615166119439,0,0,0,0,0
LTC,0,0,0,0.312706998968891,0.10325139561938,0,0,0,0.121443980111899,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0722180681258657,0.176243090910624,0.150605788132707,0,0,0,0.158689139021745,0,0,0.0533191769762114,0,0.0435749829079214,0,0,0,0,0
MIOTA,0,0,0,0.167491105798748,0.206242989634446,0,0,0,0,0,0,0.0660329427238429,0.407175048449678,0,0,0,0,0,0,0
TRX,0,0,0,0.212419168622974,0.212967419137351,0.0845496365560229,0,0.0579781153540535,0.0921830675549432,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.586255836091222,0,0,0,0,0,0,0,0,0.152980206819471,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0.195428858707509,0,0.090837119425899,0,0,0,0.0605541528282901,0,0,0,0,0
NEO,0,0,0,0,0.0805739862014117,0,0,0.0810355931825546,0.142584275649063,0.112741252097594,0.229723756844397,0,0,0,0.217650939311479,0,0,0,0,0
DASH,0,0,0,0.000000000000000000867361737988404,0,0.0910510606086847,0,0.0342238057850248,0.0209429522378218,0,0,0.0468565350419765,0.268867058689269,0,0,0,0,0,0,0
XEM,0,0,0,0.0450038195989456,0.059918625771299,0.106213290277953,0,0.204039013569386,0.105138637794981,0,0,0,0.00620272329585386,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00132368485321009,0,0,0,0,-0.116458706868408,0,0,-0.0267795896475153
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00000307829483946169,0,0,0.000000347767036745153,0,0,0,0,0,0,0.000000203970969717268,0,0,0,0,0.0317022579499781,0,0,-0.0106418207280241
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497083765303628
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
