,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.0323367459395122,0.0796872212855637,0.1714788493449,0,0.0337748087996852,0.238427007470585,0,0.0576488567685935,0,0,0,0,0
ETH,0,0,0.049229168476823,0,0.178774763055435,0,0,0,0.197359163771788,0.0779642942729546,0,0,0.00469089698933326,0,0.0357407534594881,0,0,0,0,0
XRP,0,0,0,0,0.0760483866562723,0,0.0485889969894611,0.10302019029211,0.0980717841859332,0.108570252048842,0,0.00902731463645615,0.112621865493533,0.0533056446998662,0,0,0,0,0,0
BCH,0,0,0,0,0.187346364303076,0,0,0,0.103133218511072,0.0106256978721529,0.0402860461880415,0.0203857766727567,0,0,0.0464251190102476,0,0,0,0,0
LTC,0,0.16985965339195,0,0.0940803302104782,0,0,0.0492100535077558,0,0,0.0786377758880395,0.0996468549048154,0.0980503276525203,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.118196252320541,0,0.164526641710601,0.0819609039915986,0,0.141272521509136,0,0.0615626547425283,0.0314701445208132,0,0,0,0,0
ADA,0,0,0.14649434906601,0,0.0151791071827387,0.0914941305800915,0,0.283643475816406,0.0146205164026337,0.0677611714739784,-0.00000000000000000173472347597681,0,0,0.0911969681206996,0,0,0,0,0,0
XLM,0,0,0.185761778510283,0,0,0,0.213785153957969,0,0.102818934035857,0.0482702199555175,0,0.0487655287813826,0,0.0612360791415133,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0876660357116677,0,0.120843314511808,0.26699647347051,0.0194610651263378,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.0255826712104892,0,0,0,0.457332221483894,0,0,0.01191030094514,0.180477181344284,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.157985845160734,0,0.0462320330300371,0,0.0935795312122286,0.234679457815468,0,0.0826265952705208,0.142036402104868,0,0,0,0,0,0,0
TRX,0,0,0,0.220528503075245,0,0.0703907778754196,0,0,0.214521298491329,0.080299560061163,0.159056366070679,0,0,0.090725570881425,0,0,0,0,0,0.0695099761917415
DASH,0,0,0,0.0482006681942916,0.0315009378481954,0,0.0309802910164435,0,0,0.224609467465869,0,0.0745258181834658,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.188069212313155,0.18927914223414,0.0715121711412518,0,0,0.0887724835790018,0,0,0.135547271648575,0,0,0,0,0.0408157583290275
BNB,0,0,0,0.0103570560636126,0,0,0,0,0.356180851077111,0.0851760415528263,0,0.0786855147109075,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00418690883453353,0,0,-0.00556584539652563,0,0,0,0,-0.0199560888281431
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036987759143247
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307876455053983
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0789545804036335
VIX.INDEX,0,0,0,-0.00000941069215081682,0,-0.00000567705219512024,0.0000133610232477186,0,0,0,0,0.0000545392059941152,0,0.0000297413375452898,0,0,0,0,-2.99550194206617,0
