,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0460977190484272,0.106546307991635,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0701995095294669,0.399418792658211,0,0.214765861674945,0,0,0,0,0.0172107961737488
LTC,0.389347711453514,-0.0357600137544463,0,0,0,0,-0.00296394647450875,0,0,0.00000000000000000173472347597681,0,0,0,0,0
XRP,0,0,0,0,0,0.0712357793689313,0.104719344474713,0.0713697689272971,0.127678671825139,-0.0953138738253595,0,0,0,0,0
DASH,0,0,-0.317155708119047,-0.0326745115039156,0,0,0.0937747287819124,0.0948969567028992,0,0,0,0,0,0,0.130591781705967
DOGE,0.26247900685441,0,0.0759392821802905,0,0,0,-0.0483856978533698,0,0,-0.000815916145398108,0.093959300240528,0,0,0,0.0463129183022809
XEM,0,-0.0551915257794807,0,0.297714634893628,0.21981443576245,0,0,0,0,0.0540719362699083,0,0,0,0,0
XMR,0,0.30123339485168,0,0,0,0,0,0,0.102895037996264,0,0,0,0,0,0
XLM,0.0610367613118379,0,0,0.076235876189392,0,-0.000000000000000000433680868994202,0.000000000000000000433680868994202,0.0939972679334537,0,0.0674385627747299,0,0.35790290513152,0,0,0.015260605087181
DGB,-0.503750286333145,0.155574042917647,0,0,0,0,0.171875314970871,0.0865608847059223,0,0,0,0,0,0,-0.112841146920841
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418360567173001
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0897490118771101
VIX.INDEX,0,0,0,0,0,0,0,-0.00000123939247942319,0,0,0,0.530319354824356,0,0,0
