,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0083581226753877,0.00922667296241568,0,0.097212728022892,0.0460249510586982,0.0910320216285488,0,0.125758173809635,0,0,0.0345545596237086,0,0,0,0,0,0
ETH,0,0,0,0,0.0893671986801684,0,0.0169643216397727,0,0.0876710839453942,0,0,0,0,0.0564921882036648,0,0,0,0,0,0
XRP,0,0,0,0,0.200264507188091,0,-0.00000000000000000693889390390723,0,0,0.201584550734245,0,0,0,0.121538048746906,0,0,0,0,0,0
BCH,0,0,0,0,0.0196839732816453,0,0.181824376591884,0,0.0213541494351984,0,0.213593945452337,0,0,0.125800062695158,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.633071323404614,0,0,0.000181543176373796,0,0,0,0,0,0
DASH,0,0,0,0.0369576270082806,0,0,0.171688780112178,0,0.0644696420636103,0,0,0.0461709928801271,0,0,0,0,0,0,0,0
XEM,0,0.153252085654212,0,0,0.154253651373472,0,0,0,0.06669583520847,0,0,0,0,0.112184933922279,0,0,0,0,0,0
NEO,0.314001070321133,0,0,0,0.208851381038638,0,0.0360831499898032,0,0,0,0,0,0,0.140156915707039,0.20025352490523,0,0,0,0,-0.0899621353814902
MIOTA,0,0,0,0.00231535824289086,0,0.2491544444183,0.0530564034843583,0.0871313528314809,0,0,0,0.0134427532609206,0,0,0.380982236141375,0,0,0,0,0
XMR,0,0,0.0731569035239645,0.0141276799807863,0,0,0,0,0.0239149163396167,0,0,0.203784593060478,0,0.0986557129999207,0,0,0,0,0,0
ETC,0,0,0,0,0.326406526999005,0,0,0,0,0,0,0.017551120796441,0,0.0305120987998803,0.022099765429746,0,0,0,0,0
ZEC,0,0,0,0,0,0.114725960972767,0.0995581988481555,0,0,0,0.0845935160999189,0,0,0.199559192426527,0.174362666990996,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.227328660858359,0.348391223602235,0,0,0,0.0205405260261454,0,0,0.106453611353489,0.266503948496044,0.140021120801043,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.113425796918219,0,0.102382642359738,0.0474727950899847,0.0280720318734478,0,0,0.0261861856237634,0,0.0736956254624174,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794196620355559,0,0,0,0,-0.0422707022616564
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00494271066989251,0,0,0,0,-0.00768785880613279,0,0,-0.00000000000000000010842021724855,-0.00126043781179099,0,0,0,0,0.00406059496936115,0,0,0,0,-0.00252920298211095
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000789978592319093,0,0,0,0,0,0,0,0,0,-0.035509370850982
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
