,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,NEO,TRX,MIOTA,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.107777169956156,0,0,0.0494791642923552,0,0.117786291477153,0.158463829441451,0,0,0,0,0,0,0,0
ETH,0,0,0.0617208184236908,0.0190934291339599,0.0533166077092311,0,0,0.0145057953409554,0,0,0.219534658363294,0.00711483679446751,0.0823943849043365,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0705040234466098,0,0.147312291184728,0.0585749721594515,0.0106160078068704,0.174234464659292,0.0350613964473546,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0306778343272069,0,0,0,0,0.212310372699065,0.0184496042408201,0.30327964563559,0,0,0,0,0,0,0
EOS,0,0,0.181619287508874,0,0,0.181670969561539,0,0,-0.0000000000000000000542101086242752,0.182541644697075,0,0,0,0,0.0479737331571686,0,0,0,0,0
ADA,0,0,0.0866376397031546,0,0.0332855408744771,0,0,0.30951784818361,0,0,0.170549317233161,0,0,0.0774130504996818,0,0,0,0,0,0
LTC,0,0,0,0.113213021339655,0.0663477682005817,0.013146010063812,0,0,0,0.0142794149119322,0.149097975696688,0.0944125296429502,0.0839599041389507,0,0,0,0,0,0,0
XLM,0,0,0.153134690796871,0,0,0.296501856524425,0,0,0.179876411683037,0,0,0,0,0.0152617600273188,0,0,0,0,0,0
NEO,0,0,0,0,0.0424741884057813,0,0,0.237171391059398,0,0.0169862143936018,0.362495681033708,0.0759449585159028,0,0,0.0680449645130324,0,0,0,0,0
TRX,0,0,0,0.29350066624739,0.22800271043244,0,0,0,0.176347249109891,0,0.0400185713346162,0.0492359049072593,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.246827161427152,0,0.227040857680555,0,0,0.0241235789445887,0,0,0.160467874610126,0.0271195830145699,0,0,0,0,0,0,0
XMR,0,0,0,0.0658073377368144,0,0,0,0.119952667902196,0,0,0.020316202176846,0,0.383304818992224,0,0,0,0,0,0,0
DASH,0,0,0,0.154323291064604,0.0170083252388889,0,0,0.0256871524711106,0,0.0293750433462226,0.277672637567222,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.103531836901441,0,0.194826753872014,0.0255277401995209,0.0308172500799173,0.271827942033734,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0351365276833442,-0.000000000000000000867361737988404,0.116844445322922,0.0255314987174363,0,0.270324028804689,0.0335077115752135,0.0316675847709055,0.216728838159162,0,0.0394261965835647,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0166212437340328,0,0,0,0,0,0,0,0,0,-0.0399512170766574
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857401552891
VIX.INDEX,0,0,0,0.00000780327804293452,-0.0000215233154726572,0.00000737983699205886,0,0,0,0,0,0,0,0,0,0,0,0,-3.65667409378156,0
