,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0621156239770894,0,0.0224014957731458,0.0376412715771983,0.0429772269483145,0,0.198946468105241,0.188810877433782,0.0122854805698479,0.00935110125652345,0.0490903718904984,0,0,0,0,0
ETH,0,0,0.0399167402470131,0.0552790972217673,0.0794890542712097,0.00447272057215846,0,0,0.170588506861838,0,0.1401402783662,0,0,0.0190812752782512,0.0509207463362355,0,0,0,0,0
XRP,0,0,0,0.000748912337815066,0,0.015496101205563,0.0242675574326754,0.111736865635031,0.107706067891291,0,0.141995760614829,0.0445857702651744,0,0.0437997188416541,0,0,0,0,0,0
BCH,0,0,0,0,0.107203681436872,0,0,0,0.0340664757935131,0.0932907786327366,0.0567615992409032,0,0.0227950021412961,0,0.0378636421088994,0,0,0,0,0
LTC,0,0,0,0.0695110927014975,0,0.0865037069820491,0,0,0,0.0829459755780957,0.127005256171579,0.165734165125857,0,0,0,0,0,0,0,0.0521554883906832
EOS,0,0,0,0,0,0,0.0386564516986247,0,0.0959053304431414,0,0.140918627118168,0,0.114018260942437,0.0666243029780841,0.0469823880697597,0,0,0,0,0
ADA,0,0,0.214249328232166,0,0,0,0,0.274069631467759,0.0862178849057662,0,0.0266290084810926,0,0,0.105561354217253,0,0,0,0,0,0
XLM,0,0,0.182533448040453,0,0,0,0.118435733258766,0,0,0,0.184445203352203,0,0,0.062758169543698,0,0,0,0,0,0
NEO,0,0,0,0,0,0.00225237807903668,0,0.153177384650009,0,0.356753892958259,0.130510769886286,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0417560145560437,0.119466663676131,0,0,0,0.0398548026182589,0,0.344282394207551,0.0800239642878592,0.0663713974612389,0.00328845383727196,0,0,0,0,0,0
XMR,0,0,0,0,0.133724705944517,0,0,0.140392788683156,0.229413984442082,0,0,0.2061503697244,0,0,0,0,0,0,0,0
DASH,0,0,0.00000000000000000693889390390723,0.0569806543963509,0,0,0,0,0,0.201238499939486,0.180633605236381,0,0.0500042592342657,0,0,0,0,0,0,0
TRX,0,0,0,0.207566294857375,0,0.287449906226409,0,0,0.160087622395915,0.068307458429137,0.0367254562451583,0,0,0,0,0,0,0,0,0.0247050155095719
XEM,0,0,0,0,0,0,0.194150431046552,0.141120212338522,0.106165452713014,0,0,0,0.0790736811865021,0,0.141891311277944,0,0,0,0,0.0504455701166613
BNB,0,0,0,0.0146814711903498,0,0,0,0,0,0.188517549196017,0.151591207122373,0,0.0763591754877867,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461651338024421
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786432278043293
VIX.INDEX,0,0,0,0,0,-0.00944706060359997,0,0,0,0,0.0700074193834414,0,0,0.0580679845514327,0,0,0,0,-3.17459565993142,0
