,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ATOM,ADA,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0229522621199137,0.0618557601200002,0,0.0889363825702423,0,0,0,0.160356255781094,0.0535194402885088,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0599562005585742,0.186681418630703,0,0.0131479315378366,0,0,0.078394369235343,0.0232783004014079,0,0,0,0,0,0,0,0
XRP,0,0,0,0.104811068341927,0.19979870917533,0,0,0,0,0,0.0617141510929049,0.00661071003243661,0.128630372516304,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.203101044555425,0,0,0.238258629004245,0.0236918632358107,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0743829659929941,0,0.581423192240644,0,0,0,0,0.0570789750575922,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.253784154686358,0,0,0.0359524484402478,0,0.0439926690139619,0.23630139263788,0.119373120821325,0,0,0,0,0,0,0,0
BNB,0,0,0,0.139579582044055,0,0,0,0.000000000000000000867361737988404,0,0,0.151601770623249,0.0712760298113205,0,0,0,0,0,0,0,0
BSV,0,0,0,0.324515815779027,0.0877651232858451,0.144883333015513,0,0,0,0.0665657388383555,0,0.102141815664696,0.00231603279868325,0,0,0,0,0,0,0
XTZ,0,0,0.601901135142836,0,0,0,0,0,0,0,-0.116150934371919,0,0,0,0.0790143856739709,0,0,0,0,0
XLM,0,0,0,0.106664264462055,0,0.285135242584617,0,0,0,0,0.103548333940375,0.0288307601324219,0,0,0,0,0,0,0,0
TRX,0,0,0,0.441203098871167,0,0.0414999075372482,0.222104215363501,0,0,0,0,0.0463475137970022,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0.363824163491198,0,0.0631862213794379,0.210288182165841,0.220953451803375,0,0,0,0,0,0,0,0,0,-0.0810040209879165
ADA,0,0,0,0,0,0.117501494374833,0,0.0583557204469925,0,0,0.234847806481763,0.102140473958303,0,0,0,0,0,0,0,0
LEO,0,0,0,-0.0921710767620908,0,0,0.0992383122993008,0,0,0.0850629155656303,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.131995267794896,0.0215788683156808,-0.00000000000000000346944695195361,0.0944270503411327,0,0,0,0.17348594680265,0.0693759673207682,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441843518354545
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000107035586887144,-0.00000100952409665366,0,0,0,0,-0.214403386707434,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.000000220180479600158,0,0,0,0,0,0.0381281445470323,0,0,0,-0.00276265315507355
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434392323618523
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
