,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LINK,LEO,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.256038304837128,0,0.029488680929852,0.0638174974663927,0.0793141454931383,0.0968645493490246,0.0360142983316211,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.102336415391596,0.0864091067336837,0.199829275994507,0.0618396011170591,0,0.0118210015644991,0.0350389542311994,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0785447847092881,0,0.138785543215225,0,0,0.236623792699674,0.0633703079001367,0,0,0.0315262000801603,0,0,0,0,0,0,0
BCH,0,0.195810240573269,0,0,0.154838510453145,0,0,0.229347665881509,0,0.261738434981509,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.265758322751101,0,0.249036019261785,0,0,0.147294307853237,0.0210982879312857,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0272969367460828,0.0728692013710467,0,0,0.0426211610845762,0,0.261930218799148,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.208907740184852,0,0,0,0,0.0168069712323467,0.136279663208805,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.309173894893851,0,0.180221560642793,0,0,0.00495797658876048,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.302462297447507,0,0,0,0,0.0911431560975304,0,0.19622808685117,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0873323516625574,0.322859312810955,0,0.0834335626563419,0,0,0.0230846487045363,0,0.246143666322105,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.184376683995906,0.0926625787261816,0.0756949419087981,0.0145440778179226,0.202786154539239,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.325620485609867,0.0778651558582022,0,0.0492666893249449,0.0959811935335074,0,0.0146714814375331,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.210193880182321,0,0,0,-0.18998611096516,0,0,0.162450182541946,0,0.0789373710704035,0,0,0,0,0,0,0,0.0986213927556898
LEO,0.123390936697251,0,0,0,0,0,0,-0.0205555719092521,0.0188363266786379,0,0,0,-0.0202710958029353,0,0,-0.123371603293164,0,0,0,-0.000000000000000000216840434497101
HT,0,0,0,0.121945557863081,0,0.011977979060437,0.136317595227945,0,0.0108806367359704,0.0916441741480125,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00640450973844278,0,0,0,0,0,0,0,0,0,0,-0.159065877403102
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000990989043752773,0,0,0,0.0176085419589226,0,0,0,0.000150798450843282
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.000000486433902131178,0,0,0,0,0,0,0,0,0,-0.063019525622101
VIX.INDEX,-0.00000304282978199428,0,0,0.00000758270958298483,0,0.00000740638887469888,0,0,-0.00000439194027956989,-0.000000000000000000000211758236813575,0,-0.00000430002707233373,0,0,0,-0.215138602017522,0,0,-1.05510984773469,0
