,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.093586847228503,0,0.0343607028006695,0.124711487868786,0,0.0300983945341719,0,0,0.0481405636695219,0,0.00899407531220192,0,0,0,0,0
ETH,0,0,0,0,0.090431584071191,0,0.00118915060448776,0.106841832192058,0,0.00354301766323986,0,0,0.0279478751826398,0,0.0643749100362377,0,0,0,0,0
BCH,0,0,0,0,0,0,0.52506130879959,0,0,0,0,0,0,0,0.0904108350871712,0,0,0,0,0
XRP,0,0,0,0,0.0488231783390075,0,0,0,0.0249973568421405,0.00763768943547802,0,0,0,0,0.315737426259729,0,0,0,0,0
LTC,0,0,0.0023530561839758,0,0,0,0,0,0,0.00827252457537052,0.620734827084703,0,0.0159005334240599,0,0.0591473173554441,0,0,0,0,0
DASH,0,0,0.00464059933174009,0,0,0,0.0398338950339926,0.0340503785466465,0,0,0,0.193980270935203,0.0807139673995216,0,0,0,0,0,0,0
XEM,0,0,0.110317455261677,0,0,0,0,0.112952464528524,0,0.0323767556551237,0,0,0.155928499599819,0,0.143396964299671,0,0,0,0,0
MIOTA,0,0.042943280550661,0,0,0,0,0.222409449604964,0,0,0,0,0.253010255441622,0.22212004464211,0.0287064258294308,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0.133151518854736,0,0,0.233078427178374,0,0,0,0,0
NEO,0,0,0,0,0,0,0.189822175069595,0,0,0,0,0,0.192606652896247,0.48197314813733,0,0,0,0,0,0
ETC,0,0,0,0,0.347017078360071,0,0.0471720431997612,0,0,0,0,0.0376348122976706,0.0338726249332316,0,0.0636184893639201,0,0,0,0,0
ZEC,0,0,0.0201062456714499,0,0,0.106565940052446,0,0,0.0548316080458702,0,0,0,0,0.0373064137492594,0.345845887691783,0,0,0,0,0
BAT,0,0.0479588811001866,0,0,-0.00000000000000000346944695195361,0,0,0.0101091615236527,0,0.243139155482947,0.268971554276994,0,0,0.081304112187025,0.0629141972282573,0,0,0,0,0
EOS,0,0,0,0,0.0715689241399233,0,0.0960785838440582,0.0353427566635152,0,0.0502140243135101,0,0.00910042512163351,0.0268984657120804,0,0.131157352988786,0,0,0,0,0
XLM,0,0.129418660248142,0,0.21683893798203,0,0,0,0,0.208201302228213,0,0.220811195472067,0.172906055887562,0.0870280697922811,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00968635467965667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303425691966526
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132511447802274
DXY.INDEX,0,0,0,0,0,-0.00580791434427173,0,0,-0.000226989015150372,0.00155580064064817,0,0,-0.00630743778803112,0,0,0,0,0,0,0
SPX.INDEX,0,0,-0.00000000000000000000000661744490042422,0,0,0,0,-0.000000259168926019934,-0.000000237820078894349,0,0,0,0,0,0,0,0,0,0,-0.0379405057636131
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
