,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.141277500846675,0,0.0961892981039879,0,0,0.0288656469829057,0.0284588962369032,0,0,0.0616291558045781,0.05082545099136,0.0811129651920058,0,0,0,0,0
ETH,0,0,0,0,0,0.148598136274675,0,0.0578246559586233,0.0701380283232763,0.154050840665199,0,0,0,0.0339207460807668,0.0565934318584594,0,0,0,0,0
XRP,0,0,0,0,0.0248777034464947,0,0.13069270666798,0,0.0243342614027247,0.101152569665477,0,0,0,0.0941954910921115,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0403205755858838,0,0,0.11982522635574,0,0.0324426039262361,0.431465403199851,0.0676737521087612,0,0,0,0,0,0,0
ADA,0,0,0.151680876018261,0,0,0,0.372941948056026,0,0.0270991170197439,0,0,0,0,0.0367630967118895,0,0,0,0,0,0
LTC,0.247867544252841,0,0,0.117178042360719,0,0,0,0,0,0.0536139631560828,0.0849321069051449,0,0,0.000000000000000000433680868994202,0.106906028618715,0,0,0,0,0
XLM,0,0,0.0751415786747335,0,0.269182807412717,0,0,0,0.0216916529113511,0.217402298473101,0,0,0,0,0.0704774034328539,0,0,0,0,0
NEO,0,0,0,0,0.103391656652106,0,0.137758646758531,0,0,0.097754560585365,0,0,0.213491699869293,0,0,0,0,0,0,0
EOS,0,0,0.0310206598626232,0.133383549869362,0,0,0,0,0,0.0173310297459225,0,0,0,0.11359683009005,0.0387241399807149,0,0,0,0,0
XEM,0,0,0.081351791210138,0,0.12142666118698,0.108289861344983,0.264315960063781,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.165428459788609,0,0,0.0468960639729626,0.115415120942835,0,0,0,0,0.343942246563774,0,0,0,0,0
DASH,0,0,0,0.221902354540586,0,0.0167142288843888,0,0,0,0,0,0,0.100578951798942,0.0876870327879238,0.158497706402709,0,0,0,0,0
XMR,0,0,0,0.0712425879550569,0.00844465828361163,0,0.0312383995890957,0.165081930705214,0.00792680382815271,0.0181236635187697,0,0.252163254299353,0,0.00683427619512123,0.14584716619227,0,0,0,0,0
TRX,0,0,0.00267660864808946,0.117877433228281,0,0,0.0542556708194537,0,0.0463092448989093,0.137569322368527,0,0,0,0,0.239596798773272,0,0,0,0,0
ETC,0,0,0.0321611104577737,0.171885813583614,0,0,0,0,0.0725171488728053,0,0,0.125365961214417,0.014030884899472,0.0549768686386913,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0129888193068919,0,0,0,-0.00669884512453653,0,0,-0.00217419082354407,0,0,0.00163796542089784,0,0,0,0,0,-0.0310403373840785
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00256980544197768,0,0,0,-0.000532915770597776,0,0,0,0,0,0,0.00249246718099006,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.0000944064780215895,0,0,0,0,0,0,0,0,0.000738142966787471,0,0,0,0,0,-0.0306777096861798
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
