,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00633861157138328,0,0.103818232786401,0,0,0,0,0,0.046317392952633,0,0,0,0,0
ETH,0,0,-0.0722451568136418,0,0.0559421828224892,0,0.124244290107505,0,0,0,0.121691574096749,0,0,-0.00000000000000000173472347597681,0,0,0,0,0
XRP,0,0,0,0,-0.104556936072807,0,0,0,0.458157649206166,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.230719499403274,0,0,0,0,0,0,-0.0421080665774018,0,0.187147026774735,0,0,0,0,0,0,0
ETC,0,0.22231245098217,-0.102222114948211,0,0,0,0,0,0,-0.018171915410555,0,0,0,0.311198242465931,0,0,0,0,0
LTC,0,0,0,0.0558684192643243,0,0,0,0.2184225989626,0.0490673370087508,-0.0551645790780597,0,0.0166604719851861,0,0.160559237801176,0,0,0,0,0
DASH,0,0.0207235452353976,0,0,0.0623819785948837,0.0481931337190574,0,0.238996385586765,0.00391251460575382,0,0,0.00224666007121094,0,0.0515512170406541,0,0,0,0,0
XMR,0,0,0,0.0309803145389258,0,0.000000000000000000867361737988404,0.0657772466018584,0,0.0926702090988488,0,0,0,0,0.101901796181013,0,0,0,0,0
XLM,0,0,0.466798156834631,0,0,0,0,0.148017859282082,0,0.0110632852108735,0,0.0952367299455135,0,0,0,0,0,0,0
DGB,0,0,0,0,-0.156662143028982,-0.242779398907699,0,0.274720174835486,0.205676892647178,0,0,0.596869980275584,0,-0.00580646820689146,0,0,0,0,-0.377531687958617
ZEC,0,0.246951891025654,0.00897184035400991,0,0,0,0,0,0.0143397075779838,0,0,0.0437877387364728,0,0.0120764401870431,0,0,0,0,0
DOGE,0,0,0,0.150914054563179,0,0.252602676394754,0,0,0.0877291089409055,0.0717038102723194,0,0,0,0.0533410050594001,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.146447572907541,0.0397379252481964,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000106456703447456,0,0.0251318193446609,0,0,0,0,-0.0512623155592382
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.00000199889269598635,0,0,0,0,0,0,0,0,-0.0213473861254649
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
