,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00283731137286125,0.122408919611324,0.0292683952245041,0,0,0,0.0315200942432647,0,0.0425758441335708,0.0101696465518271,0,0,0,0,0,0,0,0
ETH,0,0,0.148350191041874,0,0.0433307781036902,0,0,0.0164329667449803,0,0,0.0490874972914358,0.220392896655962,0,0,0,0,0,0,0,0
XRP,0,0.0216248712885704,0,0,0.143483971448022,0,0,0,0,0,0.224054348570221,0,0.0429619015574843,0,0,0,0,0,0,0
BCH,0,0,0.104921864526556,0,0.0860850168385817,0,0,0,0,0,0.00966880745330565,0.253370198378464,0.0237218506192808,0,0,0,0,0,0,0
EOS,0,0,0.0586659643187115,0,0,0,0,0.047227863983963,0,0,0.0327273789056837,0.227342233318769,0.189571207901916,0,0,0,0,0,0,0
XLM,0,0,0.0615448393939589,0,0,0,0,0.360760176833773,0,0,0,0,0.145935747890541,0,0,0,0,0,0,0
LTC,0,0,0,0.0726129266091527,0,0,0,0.115814133375581,0,0,0.0714821477612521,0.0372411346969361,0.0636352552450246,0,0,0,0,0,0,0
ADA,0,0,0.0370498579962045,0,0.201574095658475,0,0,0,0,0.00860831835501592,0,0.262095094080967,0.180459591008908,0,0,0,0,0,0,0
XMR,0,0.195974789916247,0.10395782234009,0.0794010289319752,0,0,0,0,0,0.0698139557555129,0.0792103593967098,0,0.063981683429283,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.0688623825399187,0,0.062038922639761,0.0384301634707555,0.328130325849827,0,0,0,0,0,0,0
MIOTA,0,0,0.0229333189960226,0,0,0,0,0,0,0,0,0.247336709745516,0.527823133319679,0,0.184730435461369,0,0,0,0,0
TRX,0,0,0.0746732920283981,0,0.145189557109347,0,0,0.137193076359742,0,0,0.137194722744295,0,0.231441182480936,0,0,0,0,0,0,0
NEO,0,0,0.0828937504143561,0,0.158326709292263,0,0,0,0,0,0.334214302049882,0.0826810403345925,0,0,0,0,0,0,0,0
ETC,0,0.206221566072345,0.00811260200705882,0,0.109497337662811,0,0,0,0,0,0.18683900430907,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0303948614801415,0,0.164036612117732,0,0,0,0,0.0198348522324893,0.0190635311282997,0,0.186781942638268,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0244096707913313,0,0,-0.0116105040099254,0,0,-0.0444110439355886,0,0,0,0,-0.00849093116183868,0.0193055976218372,0,0,0,0,-0.0528227538197419
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.0026100262180598,0.000369378810165298,0,0,0,0,0,0.000490822541821481,0,0,0,0,0,0,0.0371685495062553,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046048834383642
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
