,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.087619186676561,0.00170850687142127,0,0,0.0274418060222337,0.0124981593468006,0,0,0.0524362028819936,0,0.0614329171409652,0.0829801838802222,0,0,0,0,0
ETH,0,0,0,0.0445296134849379,0.0729051535667976,0,0,0.000779861530747592,0.0335025154144531,0,0.112026409419858,0,0,0,0.100508708173265,0,0,0,0,0
XRP,0,0,0,0,0.14183091340203,0,0,0,0.119434847939822,0,0.166901599258128,0,0,0,0.0477399486345276,0,0,0,0,0
BCH,0,0,0,0,0.232145295615229,0,0.0156732338870447,0.200352559451799,0.0388451587683826,0,0.23314691303912,0,0,0.0433878597775025,0,0,0,0,0,0
EOS,0,0,0,0.206817206636657,0,0,0,0.0275571460764694,0.169024000593812,0,0.159666990205198,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.291170552627098,0.0372186098485216,0,0,0,0.0840393516941941,0,0,0,0,0.0389729324972773,0.0856194932058505,0,0,0,0,0
XLM,0,0,0,0.103643868873617,0.0855534178925104,0,0,-0.000000000000000000216840434497101,0.155127362659718,0,0.0495945686565317,0,0,0,0.270864551673629,0,0,0,0,0
ADA,0,0,0,0.210827619308219,0.110726215919349,0,0,0,0.0522120250773398,0,0.068950786127228,0,0,0,0.141713427417499,0,0,0,0,0
MIOTA,0,0,0,0,0.115636570790029,0,0.22200719012312,0.116952017614921,0,0.339914709852927,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.109581904765012,0.0739720228009835,0,0,0.0461223816356257,0.222134268698403,0,0.0661491419007093,0,0,0,0.147108464924245,0,0,0,0,0
TRX,0,0,0,0.180228297497579,0.171210480188305,0,0,0.171820745443011,0.0798040743441091,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.375011448628517,0.0358717150174626,0,0,0,0,0.0360278646640985,0,0,0,0,0.0641887538124102,0,0,0,0,0
DASH,0,0,0,0.0536413086982735,0,0,0.123471200714667,0,0.019097388744688,0,0,0.0534653718179331,0,0.0741415889291131,0.231797105649132,0,0,0,0,0
ETC,0,0,0,0.319594004191965,0,0,0,0,0.0922650856441723,0,0,0.115069547242707,0,0,0.0526545485730221,0,0,0,0,0
XEM,0,0,0,0.276070594257305,0.0691754417611385,0,0.0265995437374414,0.105041668224267,0.0254483381947017,0.0957816426670234,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632157247291419
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469412151225989
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
