,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0311335986239159,0.00509952572084712,0.0496282458022798,0.051017531733206,0,0,0,0.00814363860118185,0.000000000000000000867361737988404,0.068024558255521,0.0217932956701951,0,0,0,0,0,0,0,0
ETH,0,0,0.0895251391869245,0.0879139585100802,0,0,0,0.129050129921168,0,0.236022339441624,0.0495433208232401,0,0,0,0,0,0,0,0,0
XRP,0,0.212091908387591,0,0,0,0,0,0,0,0,0.242450355372071,0,0,0,0,0,0,0,0,0
BCH,0,0.0464260715000227,0.0864454346493018,0,0.0359906698638487,0,0,0.122666892228616,0,0.132484619249498,0.0786258045558802,0,0,0,0,0,0,0,0,0
EOS,0,0,0.119378888598248,0.00333016929962617,0,0,0,0.0890487190763146,0,0,0.208524222476383,0,0,0.13545761116882,0,0,0,0,0,0
XLM,0,0,0.155914098270531,0,0,0,0,0.274255972355779,0,0.137889466220138,0,0,0,0.0137513083165943,0,0,0,0,0,0
LTC,0,0,0.0441001810676021,0.0407162326650427,0,0,0,0.157932198561839,0,0,0.0620096694101938,0,0,0.0637787405605547,0,0,0,0,0,0
ADA,0,0,0.151289351066635,0,0.0312350265558989,0,0,0,0,0.249817312345048,0,0,0,0.185241143820177,0,0,0,0,0,0
XMR,0,0.0879494996565527,0.118707386786867,0.00035824545666558,0,0,0,0,0,0,0.102633249205856,0,0,0.130949517954224,0,0,0,0,0,0
TRX,0,0.122714828470026,0,0,0,0,0,0.314320265469512,0,0,0.291856161453455,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0521927888199458,0,0,0,0,0,0,0.121655306814903,0,0,0,0.618045398881227,0,0,0,0,0,0
DASH,0,0,0.0496666146547134,0,0.103974021027865,0,0,0,0,0,0.0616016862333082,0,0,0.236948571339343,0,0,0,0,0,0
BNB,0,0.0603266700421407,0,0,0,0,0,0.0511698769960269,0,0.0826961172412532,0.05793114027495,0.0255689379785796,0,0.0626340130069978,0,0,0,0,0,0
NEO,0,0,0.0536812562380714,0,0,0,0,0.00825037717354684,0,0.00874278493849847,0.464747310515119,0,0,0,0,0,0,0,0,0
ETC,0,0.26834917075618,0.0464661039920554,0,0,0,0,0,0,0,0.0552959382356522,0,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.115615175820313,-0.0426981378028697,0.0160047664113463,0,0.100342982071626,-0.0165856954182004,0,0,-0.00744367893846501,0,-0.0235153308993107,-0.00242089671985545,0,0,0,0,0,0,0,-0.0436650848695772
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00425538153723323,0,0,0,0,0,0,0,0,0.000448142362916698,0,0.00077705325738395,0,0,0.0385231548239184,0,0,-0.00314135435719326
SPX.INDEX,0,0,0,0,0.000000169929845971487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050646354430684
VIX.INDEX,-0.0000304061654805605,0,0,0,0,-0.000004351799965003,0,0,0,0,0,0.00000241265608881689,0,-0.00000413975607945053,0,0,0.205600960611725,0,-2.30813686121941,0
