,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.100685038985505,0.0549461657011964,0.0662446952191395,0,0.00337784210881526,0.186497702814669,0,0,0,0,0,0,0,0
ETH,0,0,0.137254830967698,0.0682841469612509,0,0,0,0,0.0866767730219858,0,0.0173619606678606,0.0827093606326358,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0782714374768268,0.158418964410071,0.185513430331842,0,0.0526858439888343,0,-0.00000000000000000000042351647362715,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.188839894470341,0,0,0.280872143396447,0.0759905975109533,0,0.104223068481947,0,0,0,0,0
EOS,0,0,0,0,0,0,0.373974446893125,-0.00000000000000000173472347597681,0,0.231597669231081,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.119304171240318,0.0124654390684972,0,0.0199486151772341,0,0.113035844430028,0,0.0361600035924497,0.174800520744777,0,0,0,0,0,0,0,0
ADA,0,0,0.117384924882723,0,0.0791636640418345,0,0,0.332049917385144,0.00951868756238909,0,0.0534127750596921,0,0,0.0562246869783224,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.289414092355355,0,0,0,0.264089872962307,0,0,0.0276317937844453,0,0,0,0,0,0
MIOTA,0,0,0,0.0823803078581082,0,0,0.241079021417883,0.0160774783169387,0,0,0,0.149468745947492,0.220442043705509,0,0,0,0,0,0,0
TRX,0,0,0,0.210659269208736,0.0679222382560914,0,0,0.218276925027002,0,0,0,0,0.171732254798055,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0115964099774645,0,0,0.248482877706997,0.250885265723357,0.0149082744323878,0,0,0.220725407692484,0,0.00953094999486657,0,0,0,0,0
DASH,0,0,0,0.254480208242999,0,0,-0.000000000000000000867361737988404,0.0863270519828411,0.147312521951035,0.0545187111226726,0.000000000000000000433680868994202,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.167933377665521,0,0.0534948879710556,0,0.0975240478398176,0.137080732349381,0,0.039825245818879,0.116957187255405,0,0,0,0,0,0,0,0
XEM,0,0.0586393335041375,0,0,0,0,0.0601475470560314,0.184531588235896,0.20873544422968,0.0234916094961327,0.0432742206977102,0,0,0,0.0941276802973635,0,0,0,0,0
ETC,0,0,0,0.150517415968445,0.0860970373963903,0,0,0.0598326772487514,0,0.0384040129627433,0,0.0410602406023698,0,0.256923889990875,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0457181561809954,0.00461170240862731,0,0,0,0,-0.01432598334976,-0.0178359100057864,0,0,-0.00749123448833653,0,0,0,0,0,-0.0482342689780388
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857066205982
VIX.INDEX,0,0,0,0.000000929725819179278,-0.00001800247613755,0,0,0,0,0,0.0000088131370550099,0.0000203558933421464,0,0,0,0,0,0,-2.99641243342964,0
