,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.10999499371501,0,0,0.123905912455388,0,0.0261565264058461,0.166770446287132,0,0,0,0,0,0,0,0
ETH,0,0,0.0763076677676104,0.000000000000000000867361737988404,0.0202302100608959,0,0,0.0133294518212645,0.177105487456576,0,0.078846959837338,0,0.0706499804030569,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0587136229835625,0,0.123965553764814,0.177536263618776,0,0.061545642887668,0.0652888466298312,0,0,0.0488694248833769,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.221380414949378,0,0,0.0369666035305396,0.312531970594677,0,0.0140907473397395,0,0,0,0,0
EOS,0,0,0.227376192083857,0,0,0,0,0.0489576061241508,0,0.163116431330375,0,0,0,0,0.0320135947486396,0,0,0,0,0
ADA,0,0,0.0929053691786625,0,0.0437632873202408,0,0,0.295978114260773,0.134833583471354,0,0.0604985927464744,0,0,0.0579641302179411,0,0,0,0,0,0
LTC,0,0,0.0782168871907203,0.0693836278353566,0.0286971733574394,0.0212881227056728,0,0,0.138474286692222,0.0310139819973468,0,0.0849833431093293,0.112531679233102,0,0,0,0,0,0,0
XLM,0,0,0.172839037132812,0,0,0.272318664493255,0,0,0,0,0.170142724504745,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.189751908271343,0,0.217271382065174,0,0,0,0,0.0413809613807759,0.209036539868534,0.0878554856078291,0,0,0,0,0,0,0
TRX,0,0,0,0.37736298231348,0.0381519884110083,0,0,0,0.13583048241671,0,0.086723844064429,0.0821633166154565,0,0.0465272328961303,0,0,0,0,0,0
NEO,0,0,0,0,0.0376647755459701,0,0,0.234113274587572,0.356265932491279,0.0073772182979945,0,0.0832670218110465,0.0232728219007947,0,0.0669868560866432,0,0,0,0,0
XMR,0,0,0,0.107741024622582,0,0,0.104031555828932,0.0573447301316525,0,0,0.217789928052483,0,0.156056595251249,0,0,0,0,0,0,0
DASH,0,0,0,0.177867077553025,-0.0000000000000000000542101086242752,0,0.0907777208003497,0.180814748258303,0.192512158759291,0.0774357606293888,0,0,0,0,0.0376690826039948,0,0,0,0,0
XEM,0,0,0,0,0,0.0771501194804275,0,0.140405338346153,0.261196893312475,0.0122736232862044,0,0,0,0,0.111990347890055,0,0,0,0,0
ETC,0,0,0,0,0.126864816677927,0.0394758387141916,0,0.262215864215535,0.138441773171347,0.0629397103223039,0.113170445138881,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461977657214752
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095233251983762
VIX.INDEX,0,0,0,0.000369779018403176,-0.00309220842779875,0,0,-0.000885918189692129,0,0,0,0.00301419764581803,0,0,0,0,0,0,-3.64118761485762,0
