,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.278543892877435,0.000827786652291036,0,0.050620281030121,0,0,0,0,0,0,0,0,0
ETH,0.31658582333046,0,0.17628952215599,0,-0.090354741292399,0,0,0,0,0,0.184070114243923,0,-0.231324209523187,0,0,0.0732062915186647
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.587362577058685,0,0,0,0,0,0.00288750979484827,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0693666260292413,0.0997138499637001,0.0593659158765466,-0.00699575181351439,0,-0.0333448567025807,0,0,0.0434372498076224,0.0629833625084081,0,0,0,0,0
XEM,0.472192603858856,0,0,0,-0.0216395286109007,0,0,0,0,0.298978425635534,0.0290739162932157,0,0,0,0,0
DOGE,0.355204681387092,0.0302017252047668,0.120829982512321,0,-0.00522227615050264,0,0.0163145310780059,0,0,0,0.0162428880814872,0,0,0,0,0.038353675588993
XMR,0.0921638337693352,0,0,0.166537601104964,-0.00582310912317673,0,0,0.170864184604523,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0578849843354533,0,0,0.176955799184912,0.0800211659373282,0,0,0,0,0,0,0,0
DGB,0,0.141993248344067,0,0.136414745110019,0,0,0.0764013027918123,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00242960898549199,0,0,0,0,0,0,0,0,0,0,-0.0624650585360372
CVIX.INDEX,0,0,0,0,0,0,0.000000237692736054202,0,0,0,0,0,0,0,0,0.123572679973093
DXY.INDEX,0,0,0,0,-0.000641213283059263,0,0,0,-0.00000119605573293211,0,0,0,0.03810640321955,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000443307181824803,0,0,0,0,0,0,0,0,-0.0441460981871546
VIX.INDEX,0,0,0,0,0.0012426321513884,0,0.000334376286850184,0,0,0,0,0,0.401733845056205,0,0,0
