,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,NEO,TRX,XMR,EOS,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.011183633515575,0,0.0458159592414537,0,0,0.0300814732625218,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.104201312334838,0,0,0,0.0421098123228113,0.0196080824418248,0,0.0584684229744718,0.0310717240690752,0,0,0,0,0
XRP,0,0,0,0,0.120661573660667,0.10789003438416,0,0,0,0,0,0.0375860591747973,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.00333227450870252,0,0,0.223321415110416,0.0506751315155932,0,0,0.0830377348438555,0.363093821129958,0,0,0,0,0
ADA,0,0,0.0964726541496552,0,0,0.0553852514739306,0,0.595751739414276,0.0507810337831068,0,0,0.0290771735886164,0,0,0,0,0,0,0,0
XEM,0,0,0.111016724375857,0,0.0530977052048708,0,0.0475887863732048,0.254302788850383,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.216998772070542,0.330253854197847,0,0,0,0.239432335118541,0,0,0.0423490107376225,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.367471494020838,0,0,0,0.0730776866740605,0,0,0,0,0.208083163646243,0,0,0,0,0,0
MIOTA,0,0,0,0,0.111164851185248,0.13694872422062,0.136823437533415,0.0994877710811331,0,0,0,0,0,0.0187431786578907,0.0114241375232018,0,0,0,0,0
DASH,0,0,0,0.111307857953096,0,0.00450208506046375,0.124603367518017,0,0,0,0,0.0856923132025177,0.116222671622008,0,0.00665339277021401,0,0,0,0,0
NEO,0,0.156403871773601,0.0803636306525157,0.0326603712850233,0,0.0184236291562582,0,0.231203743802539,0,0,0,0,0,0.00769135846310652,0,0,0,0,0,0
TRX,0.371554844271774,0.508686504704977,0,0,0.116593100067728,0,0.0450230236291205,0,-0.00598738904130211,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.00458447342528408,0,0,0,0.137568249912138,0.0458131929080781,0.168476020101498,0.0784769446721834,0,0,0,0.0406495532112634,0,0,0,0,0
EOS,0,0,0,0.00306873068817089,0,0.040025010459421,0,0.0625150224672892,0.108364390964746,0,0.0720562086570749,0.152282637981732,0.048808479474133,0,0.0623524852096923,0,0,0,0,0
BTG,0,0,0.0176913738207575,0.551723486151083,0.0220666836937244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0096839459860776,0,0,0.0108367066128232,0,0,0,0.00612512942189529,0,0.00301617997059175,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00311332226382196,-0.00144703709555705,0,0,0,0,0,0,0,0.00380998757757549,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
