,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XMR,TRX,XLM,ETC,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0928736232424096,0.028157500814203,0.0855258375575203,0.0383231303031329,0.103009852829622,0,0.0140699816771518,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.080816786392142,0.0224137563421217,0.00663570270785587,0.0951833365926669,0.16116729398428,0,0.0133701519496419,0,0.146623511764025,0,0,0,0,0,0,0,0
XRP,0,0,0,0.104390225710248,0.0355990512326144,0.0277472585721811,0,0,0,0.0656007521145564,0,0.212286423722139,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.254417135305371,0.172108552432997,0,0,0,0,0,0,0,0.0855728088868219,0,0,0,0,0,0
BSV,0,0,0,0.514398823647499,0,0,0.206791408190583,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.278650830598571,0.0396328017063307,0,0.197641272598243,0,0,0.0461442896686788,0,0,0,0.0197673027868542,0,0,0,0,0,0
EOS,0,0,0,0.183968649370918,0.115953365067735,0,0,0,0,0.0589653887667658,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.171173085952176,0,0.015943788869674,0.10351211701806,0,0,0,0,0.149240873552375,0,0,0,0,0,0,0,0
XTZ,0,0.0622263290876474,0.126793303180903,-0.000000000000000000216840434497101,0,0,0,0,0,0,0.181710351051391,0,0,0,0.064288780790109,0,0,0,0,-0.0287557985245064
ADA,0,0,0,0.161292355165517,0.0140537399743398,0.0139637742797761,0,0.0926070799156489,0,0,0,0.109109205480927,0,0.125094954856956,0,0,0,0,0,0
XMR,0,0,0,0.187598830125979,0,0.011266726083642,0,0,0,0.0500468795202544,0,0,0,0.0878648113249055,0,0,0,0,0,0
TRX,0,0,0,0.190303123695943,0.03278741591954,0,0,0,0,0.115667603912083,0,0,0,0.0116818866101832,0,0,0,0,0,0
XLM,0,0,0.486120664658232,0,0,0,0,0.123977388690477,0,0,0,0,0,0.0447885784553447,0.0663995176569739,0,0,0,0,-0.0714143622920545
ETC,0,0,0,0.406991588320611,0.0229002659609596,0,0,0,-0.0642680387109453,0.366921530416132,0,0,0,0,0,0,0,0,0,0.0109763308161049
LINK,0,0.137364135811853,0,0.0200300300374279,0,0.270418942802513,0,0,0.0286333944855801,0.0651554252268258,0,0,0.169146751569989,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0200039934852909,-0.044819473075671,0,0,-0.0167788458202329,0,0,0,0,-0.0055055488722793,0,0,0,0,0,-0.0974213195637336
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000869562653587667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604789621776779
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
