,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.103972983434745,0.21843792803011,0.00544302629254809,0.260949710328593,0.0194049002352449,0,0,0,0,0,0
XRP,0.165907458732521,0,0.0768739247877734,0,0.238246122070868,0.0740967072895371,0,0,0,0,0,0,0.0613784882525222
LTC,0.463743513056363,0,0,0.0500270400282826,0,0.00621713773651095,0.0218573837855851,0.0201656622843044,0,0,0,0,0
DOGE,0.418928648213355,0,0.0868227856887614,0,0,0.194966807362879,0,0.0145595140267992,0,0,0,0,0
XLM,0,0.635862404156917,0,0.202607877852729,0,0,0,0,0,0,0,0,-0.101950641025449
DASH,0.621599317056905,0,0.0851487535745279,0,0,0,0,0.0249319270282013,0,0,0,0,0
XMR,0.284236235741045,0,0.0798032008186205,0,0,0.148521562067615,0,0,0,0,0,0,0
DGB,0.635893470349894,0,0,0,0,0,0,0,0,0.251958858761213,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.035001287337098
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00243216481574639,0,-0.000538904287425495,0,0,0,0,0.000193804859826231,0,0.0110587606592321,0,0,-0.0181007903489102
SPX.INDEX,0,0,0,0,0,0,0,-0.0000000200110898190261,0,0,0,0,-0.0735618389419021
VIX.INDEX,0,0.000000067846616791385,0,0,-0.0000000864577054182662,0,-0.0000000519575962085422,0,0,0.00000000614593961733402,0,-4.46588532089884,0
