,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.0491466387250796,0.00934106833902007,0.0881404175235407,0,0.205878547588677,0.149399670009732,0,0,0,0,0,0,0,0
ETH,0,0,0.103673253024744,0.063003491827658,0.019682955231257,0,0,0,0.247132811681232,0.0902770485511613,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0977500977053342,0,0,0.0333632346153056,0.119649762671095,0.0791177262945049,0.0682133612070515,0.0624522397154352,0,0,0,0.0543542948743519,0,0,0,0,0
BCH,0,0,0.133190672471698,0,0,0,0,0,0.123678610581195,0,0,0.152421679247232,0,0.0136650263631602,0,0,0,0,0,0
EOS,0,0,0.254465340696502,0.176402791228117,0,0,0,0,0,0.0290971746425111,0,0,0,0.102097931965389,0,0,0,0,0,0
LTC,0,0,0,0.0939364148033622,0.045774232623876,0,0,0,0.224845078281651,0,0.0974450062314486,0.0469737725793,0,0,0.0462885555458047,0,0,0,0,0
ADA,0,0,0.218856468615644,0,-0.000000000000000000867361737988404,0,0,0.301905845150426,0.00638492781049935,0.0980691987174125,0,0,0.0837526361948253,0,0,0,0,0,0,0
XLM,0,0,0.151079818937292,0,0,0,0.101736175699321,0,0,0.106224004459604,0.182448219068883,0,0.0987393598037251,0,0,0,0,0,0,0
MIOTA,0,0,0.187239397018211,0.022717823239487,0,0,0.0434124149923427,0,0,0.30740618209769,0.0593496355391314,0.175091811181006,0,0.0590026795636987,0,0,0,0,0,0
NEO,0,0,0,0,0.0317810844817603,0,-0.000000000000000000867361737988404,0.193618135465278,0.407358353731261,0,0.0914504042917871,0,0,0,0.0405925705461938,0,0,0,0,0
XMR,0,0,0,0.045622128622835,0,0,0,0.112328650636799,0,0.0534676946303082,0,0.38091089997425,0,0,0,0,0,0,0,0
DASH,0,0,0,0.131224905476456,0,0,0,0.125482899987636,0.117779466561169,0,0.123732213291453,0,0,0.0508995978065348,0,0,0,0,0,0
XEM,0,0,0.000000000000000000216840434497101,0,0,0,0.0260273521293498,0.397420265258903,0.240115533317233,0,0,0,0,0.0583158141198749,0,0,0,0,0,0
TRX,0,0,0,0.365717206973732,0,0,0,0,0.10053609799294,0,0.112262994706976,0.126622497485311,0.038779807904895,0,0.0382106525012628,0,0,0,0,0
ETC,0,0,0.100273704218185,0,0.0923310425660227,0,0.0672901337674984,0.212137867042588,0.0982440345547372,0.143880985268804,0,0,0,0.0552286369483178,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.035845385190014,-0.0252586375212582,-0.00883983880611573,0.0147079859303264,0,0,0,0.0222937244513929,0,-0.0349558845408163,-0.0135215555010078,0,0,0,0,-0.0378344000013135
CVIX.INDEX,0,0,0,0,-0.0290558115751615,0,0.00876469038438499,0,0,0,-0.014233130199443,0.0535785942517823,-0.0141184728755694,-0.0102703311391269,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100856983093109
VIX.INDEX,0,0,0,0,-0.0123044800741216,0,0.0191446572643672,0,-0.0294225457632342,0,0.080366981770657,0,0,0.0137435919851578,0,0,0,0,-3.04472763899456,0
