,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.11647822567791,0,0.0438534920868794,0,0.0237002520997693,0.0280507874675201,0,0.0712526380905074,0,0.0327191388553811,0.0600572863950164,0,0,0,0,0,0
ETH,0,0,0,0,0,0.199921803216051,0.0733113268612524,0,0.0367034065612262,0,0,0,0,0.025339443797994,0.0866215886690395,0,0,0,0,0
XRP,0,0,0,0,0.0126150022545526,0,0,0.0407720229023739,0.0207442416935714,0.124973409376988,0,0,0,0.0666194405367469,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0194338716523352,0.0170479362923901,0,0.150545607344483,0.0756487492615879,0,0.451050988172855,0,0,0,0,0,0,0,0
ADA,0,0,0.0885244993968443,0,0,0,0,0.203093944461226,0.0234720788404651,0.0857135937782035,0,0,0,0,0,0,0,0,0,0
LTC,0.0973775180505462,0,0,0.117087742749175,0,0,0,0,0.0406334097007684,0.130925680448955,0.00511213758565328,0.131934735389528,0,0,0.0130774869666257,0,0,0,0,0
NEO,0,0.127667641879842,0,0.170178659801051,0.0859412547623462,0,0,0.128605702893856,0,0.0263573832664592,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0909190877706114,0,0.319038847063734,0,0,0,0.0254446899719127,0,0.221836590125146,0,0.0160162158015513,0,0,0,0,0,0,0
EOS,0,0,0.112553074707105,0.0707460900083403,0,0,0,0.0755620928641216,0,0.0552431816831945,0,0,0.213416398911177,0.0529781338279557,0.094452727426142,0,0,0,0,0
XEM,0,0,0.0418533913757095,0.0909158619349305,0.138304121554405,0.0823690986316614,0,0.22487874851297,0.0404209550142305,0,0.0576849844330193,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.1578692427709,0,0,0.0718109995606741,0.130136372981063,0,0,0,0,0.215212786959767,0,0,0,0,0
DASH,0,0,0,0.0854279485995705,0.0632864453732726,0.0758189182043743,0,0,0,0,0,0,0.0401702232233501,0.0750276048484979,0.212464416327805,0,0,0,0,0
XMR,0,0,0,0.0391441747368027,0.00892002066531285,0,0.152540372735626,0.0830760755721358,0.0445825505212202,0,0.00714914991236706,0.247646321243631,0,0.00446351490294648,0.0639494353472883,0,0,0,0,0
TRX,0.0816717512350751,0,0.0651070378842342,0.179395827408929,-0.00000000000000000693889390390723,0.13811691348769,0,0,0.0160411342134177,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.167997811939063,0,0,0,0,0,0.0720606643161455,0,0.107178882219917,0.0429271596046695,0.0188048849110687,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00604136786772084,0,0,0,0,0.00270120477719133,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00261883201601751,0,0,0,0,0,0,0,0,0,0,0.00252295127262281,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000294453665214133,0,0,0,0,0,-0.0000579586086318934,0,0,0,0,0,0,0,0,-0.0257503112404866
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
