,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0687838660689719,0,0,0,0,0.107523046956426,0,0.147450229734015,0.00901992138879022,0.0373585915470275,0,0.0575087095997381,0,0,0,0,0,0,0
ETH,0,0,0.14398989187342,0.0732902432863583,0.0310976548729571,0.096729822159834,0,0,0.0754856637165882,0,0,0,0.0543511143834115,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0060873495722079,0,0.0554487045692254,0.157351778660977,0.191314333800231,0,0.0486386429501213,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.180334545476972,0,0,0.112043993223631,0.277238788462178,0,0.0892330514150567,0,0,0,0,0
EOS,0,0,0,0,0,0,0.373974446893125,0,0,0.231597669231081,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0768242579583994,0.0341791954171306,0.0732934063808912,0.0351767117388016,0,0,0,0.122534725552285,0.0258442668232327,0.0151835118052509,0.0297961035607366,0.11947435877424,0,0,0,0,0,0,0
ADA,0,0,0.057165749989185,0,0.064411553724014,0,0,0.311394254814516,0.132584839242203,0,0.0836731564019293,0,0,0.0651328185393369,0,0,0,0,0,0
XLM,0,0,0,0,0.0676106531946334,0,0.346368661776608,0,0,0,0.165401066062439,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.173282363185015,0,0,0.222657456430786,0,0,0,0,0.224673710613024,0.0308859972079007,0,0,0,0,0,0,0
TRX,0,0,0,0.156910188767877,0.098021885674091,0,0,0.28144864687306,0,0,0,0.159406131574393,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0253072876463162,0,0,0.219139569885808,0.363352478100051,0,0,0.125271565625244,0,0,0.0283700974573188,0,0,0,0,0
XMR,0,0,0,0.021331398858546,0,0.11520163502632,0,0.0805969250696344,0.203880052411827,0,0.0490811866328596,0,0.0709958905291238,0,0,0,0,0,0,0
DASH,0,0,0,0.170501692774294,0.0196683114379408,0,0,0,0.291801132207035,0.0292887567131733,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0627022395461242,0.233191889357878,0.245074346891439,0.0114097783538015,0,0,0,0,0.0504353802079677,0,0,0,0,0
ETC,0,0,0,0.174161554351588,0.102823284473949,0,0,0.0252568260887199,0.0295438490317146,0.0300523660400232,-0.000000000000000000216840434497101,0,0,0.26339649891676,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0152137669862731,0,0,0,0,-0.0352922737499669,0,0,0.0441554458148887,-0.0220511826699657,0,0,0,0,0,-0.0507201327686643
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857463639598
VIX.INDEX,0,0,0,0,0.0000000000000000000008470329472543,0,0,0,0,-0.00000653620354940578,0.00000853785883823658,0.00000275667674706977,0,-0.00000315115708525702,0,0,0,0,-3.87714879221914,0
