,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0241323943345921,0.0453803607022188,0.0877132424666496,0,0,0.0247046627924898,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.190667322912983,0.0752864811890811,0.175252002048843,0,0,0.0497644429432131,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0336801817109794,0.0792103765471401,0.160538392318378,0,0.0399758602674582,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.442924368222965,0.187626970674249,0.0254784541917472,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.299699468763311,0,0.0973197758884984,0,0,0.105853956072575,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.187710569292492,0,0.363515396201678,0.0339613005847771,0,0.0117219597962244,0,0,0,0,0.00503275149494745,0.12347549326125,0,0,0,0,0,0,0
BNB,0,0,0,0.309778708774758,-0.0785312408317144,0,0,0,0,0,0,0.325524131520027,0,0,0,0,0,0,0,0
XLM,0,0.106564623518239,0.329482115255976,0,0.0401471550878518,0.0513770970871253,0,0,0,0,0,0,0.0627727542543618,0,0,0,0,0,0,0
ADA,0,0,0,0.123538042365203,0.243243825379644,0.197043054862804,0,0,0,0,0,0,0,0,0.033113307556956,0,0,0,0,0
TRX,0,0,0,0,0.0486771536266161,0.0369459574033641,0,0,0.0284963340256707,0,0.0937362552376224,0.0646299541845331,0.171338342820697,0,0,0,0,0,0,0
BSV,0,0,0,0.118718578464939,0.136288698383453,0.0931330120345149,0,0,0.0364123161249615,0,0,0,0.0621820321048999,0,0.0235832356004707,0,0,0,0,0
DASH,0,0.0130964867920959,0,0,0,0.224262145865749,0,0,0.0420192634243029,0,0,0,0.263422511518482,0,0.0452667345568749,0,0,0,0,0
XMR,0,0.213303157758074,0,0.0452025652796222,0,0.151449666101594,0,0.036931252935646,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.110030028775692,0,0.203382798516089,0,0,0.0836092709906546,0,0,0,0,0,0.0229868180924431,0,0,0,0,0
NEO,0,0,0,0.211447164687333,0.0762154859076621,0.0632010539064933,0,0,0.132294549821193,0,0,0.0653843936687599,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393544132541319
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.00000161953886608892,0,0,0,0,0,0,0,0,0,0,0,0,-0.080321172349276
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
