,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,BTG,XMR,EOS,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.171699878426259,0,0.0542914600975695,0,0.043495442362625,0,0,0.0103183210675627,0,0.0358760702462918,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.20533666408764,0,0.0023856905033369,0,0,0,0,0.0691679696159841,0.0701845966509633,0,0.104518671819759,0,0,0,0,0
BCH,0,0,0,0.187432229500002,0,0,-0.0515864149729244,0.164692382628953,0.0609946413285075,0.0730100928889169,0,0,0.109488637775305,-0.0333561127873558,0,0,0,0,0,0
XRP,0,0,0,0,0.0440333655940254,0,0.0696107951899132,0,0.104435146650996,0,0,0.0206726991314975,0,0.0433013385693184,0.0153954395898403,0,0,0,0,0
LTC,0.0481315018560902,0.119422431435539,-0.0430331689887857,0,0,0.0198776796968727,0,0,0.232512301192832,0,0,0,0,0,0.0653601378774354,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0481070375140022,0,0.180771172203453,0,0,0,0,0.285214751056821,0,0,0,0,0,0.109009350964814
ADA,0,0,-0.0633140100550585,0.138264903111542,0.00000000000000000010842021724855,0.0695210371824957,0,0,0.033799864793264,0,0,0,0,0.30411522142939,0.205875472546858,0,0,0,0,0
DASH,0,0,0.103603490048142,0,0.0459108353609448,0,0.032666182573151,0,0.0128182882420072,0,0.0704027676086692,0,0.14480672115865,0,0,0,0,0,0,0
XEM,0,0,0,0.0797193746890899,0,0.0738472355953659,0.168682949048196,0,0,0,0,0,0,-0.000000000000000000433680868994202,0,0,0,0,0,0
BTG,0,0,0.463994129698948,0,0,0,0.0104761938356968,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0583165394760078,0.023792618488534,0.172499360262521,0,0.00237895256821414,0,0,0.0835408978160796,0.0762457908475035,0.0960574220806308,0,0,0,0,0
EOS,0.24398397377427,0.090251607207344,0.0841548803896245,0.131019484154232,0.126771949130265,0.0866528884238548,0,0,0,0,0,0,0.151975338434042,0.152466836922888,0,0,0,0,0,0
NEO,0,0,0,0.143853358377108,0.00643155784289101,0,0.0489618488976994,0,0.00850152993075749,-0.0261314038655412,0,0.0669271992142659,0,0,0.0894762257427763,0,0,0,0,0
XLM,0,0,0,0,0,0.108118995021487,0.264709218500224,0,0,-0.0266971666099258,0.266131240743168,0.0762142154723111,0,0,0,0,0,0,0,0
ETC,0,0,0.0685087524206713,0,0,0,0.109034102858374,0,0.0965899076752285,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0204872014946218,0.000906639214306678,-0.00116592782024571,0,0,0.0148617814523528,0,0.0377959917722634,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0000000189533133797375,0,0,0,0,0,0.0000000492408018424951,0,0,0,0,0,0,0,-0.0180378804671698
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
